season,celebrityname,wiki_title,pageid,cutoff_utc,edits_total_to_cutoff,status,notes
3,Sara Evans,Sara Evans,913162,2006-09-05T00:00:00Z,341,ok,
3,Shanna Moakler,Shanna Moakler,1759214,2006-09-05T00:00:00Z,128,ok,
3,Tucker Carlson,Tucker Carlson,796076,2006-09-05T00:00:00Z,835,ok,
3,Vivica A. Fox,Vivica A. Fox,596313,2006-09-05T00:00:00Z,129,ok,
3,Willa Ford,Willa Ford,1282560,2006-09-05T00:00:00Z,649,ok,
4,Apolo Anton Ohno,Apolo Ohno,239012,2007-03-12T00:00:00Z,420,ok,
4,Billy Ray Cyrus,Billy Ray Cyrus,169602,2007-03-12T00:00:00Z,477,ok,
4,Clyde Drexler,Clyde Drexler,372857,2007-03-12T00:00:00Z,177,ok,
4,Heather Mills,Heather Mills,213199,2007-03-12T00:00:00Z,604,ok,
4,Ian Ziering,Ian Ziering,221723,2007-03-12T00:00:00Z,54,ok,
4,Joey Fatone,Joey Fatone,1202691,2007-03-12T00:00:00Z,147,ok,
4,John Ratzenberger,John Ratzenberger,98713,2007-03-12T00:00:00Z,212,ok,
4,Laila Ali,Laila Ali,145395,2007-03-12T00:00:00Z,161,ok,
4,Leeza Gibbons,Leeza Gibbons,1842870,2007-03-12T00:00:00Z,69,ok,
4,Paulina Porizkova,Paulina Porizkova,871448,2007-03-12T00:00:00Z,224,ok,
4,Shandi Finnessey,Shandi Finnessey,1872291,2007-03-12T00:00:00Z,185,ok,
5,Albert Reed,Albert Reed,39568850,2007-09-17T00:00:00Z,,disambiguation,Page is a disambiguation page (pageprops.disambiguation)
5,Cameron Mathison,Cameron Mathison,2170780,2007-09-17T00:00:00Z,60,ok,
5,Floyd Mayweather Jr.,Floyd Mayweather Jr.,1388019,2007-09-17T00:00:00Z,1037,ok,
5,Helio Castroneves,Hélio Castroneves,345352,2007-09-17T00:00:00Z,184,ok,
5,Jane Seymour,Jane Seymour,46383,2007-09-17T00:00:00Z,340,ok,
5,Jennie Garth,Jennie Garth,225482,2007-09-17T00:00:00Z,214,ok,
5,Josie Maran,Josie Maran,929640,2007-09-17T00:00:00Z,389,ok,
5,Marie Osmond,Marie Osmond,728775,2007-09-17T00:00:00Z,287,ok,
5,Mark Cuban,Mark Cuban,408743,2007-09-17T00:00:00Z,1240,ok,
5,Mel B,Mel B,262482,2007-09-17T00:00:00Z,981,ok,
5,Sabrina Bryan,Sabrina Bryan,3028912,2007-09-17T00:00:00Z,621,ok,
5,Wayne Newton,Wayne Newton,556410,2007-09-17T00:00:00Z,234,ok,
6,Adam Carolla,Adam Carolla,2723,2008-03-10T00:00:00Z,1095,ok,
6,Cristian de la Fuente,Cristián de la Fuente,4092617,2008-03-10T00:00:00Z,77,ok,
6,Jason Taylor,Jason Taylor,3917511,2008-03-10T00:00:00Z,,disambiguation,Page is a disambiguation page (pageprops.disambiguation)
6,Kristi Yamaguchi,Kristi Yamaguchi,17291,2008-03-10T00:00:00Z,365,ok,
6,Mario,Mario,81361,2008-03-10T00:00:00Z,8340,ok,
6,Marissa Jaret Winokur,Marissa Jaret Winokur,1823364,2008-03-10T00:00:00Z,109,ok,
6,Marlee Matlin,Marlee Matlin,182870,2008-03-10T00:00:00Z,291,ok,
6,Monica Seles,Monica Seles,300468,2008-03-10T00:00:00Z,876,ok,
6,Penn Jillette,Penn Jillette,348378,2008-03-10T00:00:00Z,585,ok,
6,Priscilla Presley,Priscilla Presley,208580,2008-03-10T00:00:00Z,420,ok,
6,Shannon Elizabeth,Shannon Elizabeth,26675,2008-03-10T00:00:00Z,549,ok,
6,Steve Guttenberg,Steve Guttenberg,724645,2008-03-10T00:00:00Z,516,ok,
7,Brooke Burke,Brooke Burke,21486834,2008-09-15T00:00:00Z,578,ok,
7,Cloris Leachman,Cloris Leachman,521820,2008-09-15T00:00:00Z,461,ok,
7,Cody Linley,Cody Linley,4833081,2008-09-15T00:00:00Z,1457,ok,
7,Jeffrey Ross,Jeff Ross,5847824,2008-09-15T00:00:00Z,117,ok,
7,Kim Kardashian,Kim Kardashian,19394613,2008-09-15T00:00:00Z,2247,ok,
7,Lance Bass,Lance Bass,161230,2008-09-15T00:00:00Z,2505,ok,
7,Maurice Greene,Maurice Greene,1127982,2008-09-15T00:00:00Z,,disambiguation,Page is a disambiguation page (pageprops.disambiguation)
7,Misty May-Treanor,Misty May-Treanor,928737,2008-09-15T00:00:00Z,560,ok,
7,Rocco DiSpirito,Rocco DiSpirito,1433761,2008-09-15T00:00:00Z,112,ok,
7,Susan Lucci,Susan Lucci,645193,2008-09-15T00:00:00Z,377,ok,
7,Ted McGinley,Ted McGinley,654916,2008-09-15T00:00:00Z,216,ok,
7,Toni Braxton,Toni Braxton,495350,2008-09-15T00:00:00Z,1809,ok,
7,Warren Sapp,Warren Sapp,538870,2008-09-15T00:00:00Z,597,ok,
8,Belinda Carlisle,Belinda Carlisle,338350,2009-03-02T00:00:00Z,982,ok,
8,Chuck Wicks,Chuck Wicks,13255277,2009-03-02T00:00:00Z,302,ok,
8,David Alan Grier,David Alan Grier,998033,2009-03-02T00:00:00Z,316,ok,
8,Denise Richards,Denise Richards,37275,2009-03-02T00:00:00Z,1049,ok,
8,Gilles Marini,Gilles Marini,21462703,2009-03-02T00:00:00Z,24,ok,
8,Holly Madison,Holly Madison,2686441,2009-03-02T00:00:00Z,932,ok,
8,Lawrence Taylor,Lawrence Taylor,448584,2009-03-02T00:00:00Z,1806,ok,
8,Lil' Kim,Lil' Kim,215670,2009-03-02T00:00:00Z,3890,ok,
8,Melissa Rycroft,Melissa Rycroft,21876113,2009-03-02T00:00:00Z,0,ok,
8,Shawn Johnson,Shawn Johnson East,19084452,2009-03-02T00:00:00Z,1018,ok,
8,Steve Wozniak,Steve Wozniak,27848,2009-03-02T00:00:00Z,2170,ok,
8,Steve-O,Steve-O,13063807,2009-03-02T00:00:00Z,1516,ok,
8,Ty Murray,Ty Murray,5303744,2009-03-02T00:00:00Z,123,ok,
9,Aaron Carter,Aaron Carter,83108,2009-09-14T00:00:00Z,2458,ok,
9,Ashley Hamiliton,Ashley Hamiliton,,2009-09-14T00:00:00Z,,missing_title,Title not found (pageid=-1)
9,Chuck Liddell,Chuck Liddell,1715880,2009-09-14T00:00:00Z,3565,ok,
9,Debi Mazar,Debi Mazar,90685,2009-09-14T00:00:00Z,228,ok,
9,Donny Osmond,Donny Osmond,726651,2009-09-14T00:00:00Z,873,ok,
9,Joanna Krupa,Joanna Krupa,2079934,2009-09-14T00:00:00Z,443,ok,
9,Kathy Ireland,Kathy Ireland,276471,2009-09-14T00:00:00Z,450,ok,
9,Kelly Osbourne,Kelly Osbourne,97561,2009-09-14T00:00:00Z,1250,ok,
9,Louie Vito,Louie Vito,9524378,2009-09-14T00:00:00Z,60,ok,
9,Macy Gray,Macy Gray,168875,2009-09-14T00:00:00Z,800,ok,
9,Mark Dacascos,Mark Dacascos,728473,2009-09-14T00:00:00Z,276,ok,
9,Melissa Joan Hart,Melissa Joan Hart,148164,2009-09-14T00:00:00Z,1177,ok,
9,Michael Irvin,Michael Irvin,449874,2009-09-14T00:00:00Z,1128,ok,
9,Mya,Mya,1161897,2009-09-14T00:00:00Z,,disambiguation,Page is a disambiguation page (pageprops.disambiguation)
9,Natalie Coughlin,Natalie Coughlin,907833,2009-09-14T00:00:00Z,515,ok,
9,Tom DeLay,Tom DeLay,216169,2009-09-14T00:00:00Z,2927,ok,
10,Aiden Turner,Aiden Turner,1450336,2010-03-15T00:00:00Z,130,ok,
10,Buzz Aldrin,Buzz Aldrin,65777,2010-03-15T00:00:00Z,1913,ok,
10,Chad Ochocinco,Chad Johnson,7761399,2010-03-15T00:00:00Z,2903,ok,
10,Erin Andrews,Erin Andrews,23684268,2010-03-15T00:00:00Z,1083,ok,
10,Evan Lysacek,Evan Lysacek,1426102,2010-03-15T00:00:00Z,1057,ok,
10,Jake Pavelka,Jake Pavelka,24737882,2010-03-15T00:00:00Z,32,ok,
10,Kate Gosselin,Kate Gosselin,12469037,2010-03-15T00:00:00Z,1063,ok,
10,Nicole Scherzinger,Nicole Scherzinger,6803715,2010-03-15T00:00:00Z,6330,ok,
10,Niecy Nash,Niecy Nash,2148973,2010-03-15T00:00:00Z,213,ok,
10,Pamela Anderson,Pamela Anderson,23035,2010-03-15T00:00:00Z,4578,ok,
10,Shannen Doherty,Shannen Doherty,21207432,2010-03-15T00:00:00Z,1497,ok,
11,Audrina Patridge,Audrina Patridge,7600033,2010-09-13T00:00:00Z,1453,ok,
11,Brandy,Brandy,45189,2010-09-13T00:00:00Z,985,ok,
11,Bristol Palin,Bristol Palin,19134078,2010-09-13T00:00:00Z,653,ok,
11,David Hasselhoff,David Hasselhoff,166103,2010-09-13T00:00:00Z,4463,ok,
11,Florence Henderson,Florence Henderson,3648917,2010-09-13T00:00:00Z,403,ok,
11,Jennifer Grey,Jennifer Grey,680333,2010-09-13T00:00:00Z,377,ok,
11,Kurt Warner,Kurt Warner,414302,2010-09-13T00:00:00Z,2266,ok,
11,Kyle Massey,Kyle Massey,1288339,2010-09-13T00:00:00Z,2030,ok,
11,Margaret Cho,Margaret Cho,89662,2010-09-13T00:00:00Z,1220,ok,
11,Michael Bolton,Michael Bolton,551974,2010-09-13T00:00:00Z,1438,ok,
11,Rick Fox,Rick Fox,654160,2010-09-13T00:00:00Z,586,ok,
11,The Situation,Situation,19039812,2010-09-13T00:00:00Z,,disambiguation,Page is a disambiguation page (pageprops.disambiguation)
12,Chelsea Kane,Chelsea Kane,12270854,2011-03-14T00:00:00Z,1474,ok,
12,Chris Jericho,Chris Jericho,424778,2011-03-14T00:00:00Z,7396,ok,
12,Hines Ward,Hines Ward,1129656,2011-03-14T00:00:00Z,1630,ok,
12,Kendra Wilkinson,Kendra Wilkinson,9031039,2011-03-14T00:00:00Z,2191,ok,
12,Kirstie Alley,Kirstie Alley,327664,2011-03-14T00:00:00Z,1382,ok,
12,Mike Catherwood,Michael Catherwood,26837390,2011-03-14T00:00:00Z,,api_error,"count_revisions request failed: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))"
12,Petra Nemcova,Petra Němcová,701533,2011-03-14T00:00:00Z,712,ok,
12,Ralph Macchio,Ralph Macchio,577433,2011-03-14T00:00:00Z,1009,ok,
12,Romeo,Romeo,10730517,2011-03-14T00:00:00Z,778,ok,
12,Sugar Ray Leonard,Sugar Ray Leonard,87530,2011-03-14T00:00:00Z,1206,ok,
12,Wendy Williams,Wendy Williams,1056193,2011-03-14T00:00:00Z,1575,ok,
13,Carson Kressley,Carson Kressley,489504,2011-09-12T00:00:00Z,451,ok,
13,Chaz Bono,Chaz Bono,42765,2011-09-12T00:00:00Z,920,ok,
13,Chynna Phillips,Chynna Phillips,705751,2011-09-12T00:00:00Z,228,ok,
13,David Arquette,David Arquette,600332,2011-09-12T00:00:00Z,1205,ok,
13,Elisabetta Canalis,Elisabetta Canalis,7623086,2011-09-12T00:00:00Z,279,ok,
13,Hope Solo,Hope Solo,8322947,2011-09-12T00:00:00Z,549,ok,
13,J.R. Martinez,J. R. Martinez,20664185,2011-09-12T00:00:00Z,64,ok,
13,Kristin Cavallari,Kristin Cavallari,3169910,2011-09-12T00:00:00Z,1958,ok,
13,Metta World Peace (Ron),Metta World Peace (Ron),,2011-09-12T00:00:00Z,,missing_title,Title not found (pageid=-1)
13,Nancy Grace,Nancy Grace,11481790,2011-09-12T00:00:00Z,2833,ok,
13,Ricki Lake,Ricki Lake,250943,2011-09-12T00:00:00Z,807,ok,
13,Rob Kardashian,Rob Kardashian,17325260,2011-09-12T00:00:00Z,1334,ok,
14,Donald Driver,Donald Driver,1266505,2012-03-12T00:00:00Z,651,ok,
14,Gavin DeGraw,Gavin DeGraw,7955359,2012-03-12T00:00:00Z,1213,ok,
14,Gladys Knight,Gladys Knight,165909,2012-03-12T00:00:00Z,1127,ok,
14,Jack Wagner,Jack Wagner,839097,2012-03-12T00:00:00Z,,disambiguation,Page is a disambiguation page (pageprops.disambiguation)
14,Jaleel White,Jaleel White,682238,2012-03-12T00:00:00Z,1696,ok,
14,Katherine Jenkins,Katherine Jenkins,1833326,2012-03-12T00:00:00Z,1103,ok,
14,Maria Menounos,Maria Menounos,939956,2012-03-12T00:00:00Z,832,ok,
14,Martina Navratilova,Martina Navratilova,198092,2012-03-12T00:00:00Z,1741,ok,
14,Melissa Gilbert,Melissa Gilbert,417692,2012-03-12T00:00:00Z,618,ok,
14,Roshon Fegan,Roshon Fegan,21960899,2012-03-12T00:00:00Z,717,ok,
14,Sherri Sheperd,Sherri Sheperd,,2012-03-12T00:00:00Z,,missing_title,Title not found (pageid=-1)
14,William Levy,William Levy,35145340,2012-03-12T00:00:00Z,,disambiguation,Page is a disambiguation page (pageprops.disambiguation)
15,Apolo Anton Ohno,Apolo Ohno,239012,2012-09-17T00:00:00Z,1828,ok,
15,Bristol Palin,Bristol Palin,19134078,2012-09-17T00:00:00Z,1495,ok,
15,Drew Lachey,Drew Lachey,2063909,2012-09-17T00:00:00Z,328,ok,
15,Emmitt Smith,Emmitt Smith,154857,2012-09-17T00:00:00Z,2129,ok,
15,Gilles Marini,Gilles Marini,21462703,2012-09-17T00:00:00Z,229,ok,
15,Helio Castroneves,Hélio Castroneves,345352,2012-09-17T00:00:00Z,809,ok,
15,Joey Fatone,Joey Fatone,1202691,2012-09-17T00:00:00Z,951,ok,
15,Kelly Monaco,Kelly Monaco,719429,2012-09-17T00:00:00Z,891,ok,
15,Kirstie Alley,Kirstie Alley,327664,2012-09-17T00:00:00Z,1656,ok,
15,Melissa Rycroft,Melissa Rycroft,21876113,2012-09-17T00:00:00Z,509,ok,
15,Pamela Anderson,Pamela Anderson,23035,2012-09-17T00:00:00Z,5730,ok,
15,Sabrina Bryan,Sabrina Bryan,3028912,2012-09-17T00:00:00Z,1982,ok,
15,Shawn Johnson,Shawn Johnson East,19084452,2012-09-17T00:00:00Z,1859,ok,
16,Alexandra Raisman,Aly Raisman,28138758,2013-03-11T00:00:00Z,664,ok,
16,Andy Dick,Andy Dick,641959,2013-03-11T00:00:00Z,2345,ok,
16,D. L. Hughley,D. L. Hughley,524989,2013-03-11T00:00:00Z,547,ok,
16,Dorothy Hamill,Dorothy Hamill,434988,2013-03-11T00:00:00Z,389,ok,
16,Ingo Rademacher,Ingo Rademacher,3693103,2013-03-11T00:00:00Z,218,ok,
16,Jacoby Jones,Jacoby Jones,10957791,2013-03-11T00:00:00Z,339,ok,
16,Kellie Pickler,Kellie Pickler,3859453,2013-03-11T00:00:00Z,3238,ok,
16,Lisa Vanderpump,Lisa Vanderpump,38789274,2013-03-11T00:00:00Z,0,ok,
16,Sean Lowe,Sean Lowe,43578506,2013-03-11T00:00:00Z,,disambiguation,Page is a disambiguation page (pageprops.disambiguation)
16,Victor Ortiz,Victor Ortiz,13675852,2013-03-11T00:00:00Z,884,ok,
16,Wynonna Judd,Wynonna Judd,782522,2013-03-11T00:00:00Z,698,ok,
16,Zendaya,Zendaya,28753159,2013-03-11T00:00:00Z,1585,ok,
17,Amber Riley,Amber Riley,24189535,2013-09-09T00:00:00Z,650,ok,
17,Bill Engvall,Bill Engvall,1539811,2013-09-09T00:00:00Z,660,ok,
17,Bill Nye,Bill Nye,10276064,2013-09-09T00:00:00Z,3840,ok,
17,Brant Daugherty,Brant Daugherty,30248112,2013-09-09T00:00:00Z,178,ok,
17,Christina Milian,Christina Milian,657902,2013-09-09T00:00:00Z,4616,ok,
17,Corbin Bleu,Corbin Bleu,3591242,2013-09-09T00:00:00Z,5932,ok,
17,Elizabeth Berkley Lauren,Elizabeth Berkley,235473,2013-09-09T00:00:00Z,1022,ok,
17,Jack Osbourne,Jack Osbourne,394763,2013-09-09T00:00:00Z,915,ok,
17,Keyshawn Johnson,Keyshawn Johnson,638094,2013-09-09T00:00:00Z,722,ok,
17,Leah Remini,Leah Remini,991720,2013-09-09T00:00:00Z,1400,ok,
17,"Nicole ""Snooki"" Polizzi",Snooki,25529159,2013-09-09T00:00:00Z,1471,ok,
17,Valerie Harper,Valerie Harper,351501,2013-09-09T00:00:00Z,567,ok,
18,Amy Purdy,Amy Purdy,2457365,2014-03-10T00:00:00Z,141,ok,
18,Billy Dee Williams,Billy Dee Williams,433992,2014-03-10T00:00:00Z,1049,ok,
18,Candace Cameron Bure,Candace Cameron Bure,21424406,2014-03-10T00:00:00Z,1242,ok,
18,Charlie White,Charles White,6113954,2014-03-10T00:00:00Z,,disambiguation,Page is a disambiguation page (pageprops.disambiguation)
18,Cody Simpson,Cody Simpson,27367390,2014-03-10T00:00:00Z,1475,ok,
18,Danica McKellar,Danica McKellar,146089,2014-03-10T00:00:00Z,966,ok,
18,Diana Nyad,Diana Nyad,2329635,2014-03-10T00:00:00Z,593,ok,
18,Drew Carey,Drew Carey,18842230,2014-03-10T00:00:00Z,2495,ok,
18,James Maslow,James Maslow,25259595,2014-03-10T00:00:00Z,,api_error,"count_revisions request failed: HTTPSConnectionPool(host='en.wikipedia.org', port=443): Read timed out. (read timeout=20.0)"
18,Meryl Davis,Meryl Davis,7847641,2014-03-10T00:00:00Z,927,ok,
18,NeNe Leakes,NeNe Leakes,24657439,2014-03-10T00:00:00Z,585,ok,
18,Sean Avery,Sean Avery,914114,2014-03-10T00:00:00Z,3044,ok,
19,Alfonso Ribeiro,Alfonso Ribeiro,1828686,2014-09-08T00:00:00Z,1637,ok,
19,Antonio Sabato Jr.,Antonio Sabàto Jr.,30872446,2014-09-08T00:00:00Z,574,ok,
19,Bethany Mota,Bethany Mota,42673887,2014-09-08T00:00:00Z,250,ok,
19,Betsey Johnson,Betsey Johnson,2234792,2014-09-08T00:00:00Z,426,ok,
19,Janel Parrish,Janel Parrish,12303441,2014-09-08T00:00:00Z,597,ok,
19,Jonathan Bennett,Jonathan Bennett,5097119,2014-09-08T00:00:00Z,,disambiguation,Page is a disambiguation page (pageprops.disambiguation)
19,Lea Thompson,Lea Thompson,399162,2014-09-08T00:00:00Z,644,ok,
19,Lolo Jones,Lolo Jones,47506158,2014-09-08T00:00:00Z,774,ok,
19,Michael Waltrip,Michael Waltrip,1432362,2014-09-08T00:00:00Z,1077,ok,
19,Randy Couture,Randy Couture,1216791,2014-09-08T00:00:00Z,4228,ok,
19,Sadie Robertson,Sadie Robertson,41427720,2014-09-08T00:00:00Z,110,ok,
19,Tavis Smiley,Tavis Smiley,875830,2014-09-08T00:00:00Z,561,ok,
19,Tommy Chong,Tommy Chong,316276,2014-09-08T00:00:00Z,1245,ok,
20,Charlotte McKinney,Charlotte McKinney,45276122,2015-03-09T00:00:00Z,17,ok,
20,Chris Soules,Chris Soules,46298078,2015-03-09T00:00:00Z,0,ok,
20,Michael Sam,Michael Sam,41357456,2015-03-09T00:00:00Z,508,ok,
20,Nastia Liukin,Nastia Liukin,4057599,2015-03-09T00:00:00Z,1771,ok,
20,Noah Galloway,Noah Galloway,45700998,2015-03-09T00:00:00Z,0,ok,
20,Patti LaBelle,Patti LaBelle,186089,2015-03-09T00:00:00Z,2294,ok,
20,Redfoo,Redfoo,33285056,2015-03-09T00:00:00Z,790,ok,
20,Riker Lynch,Riker Lynch,31383036,2015-03-09T00:00:00Z,509,ok,
20,Robert Herjavec,Robert Herjavec,22333849,2015-03-09T00:00:00Z,374,ok,
20,Rumer Willis,Rumer Willis,1796004,2015-03-09T00:00:00Z,767,ok,
20,Suzanne Somers,Suzanne Somers,30876264,2015-03-09T00:00:00Z,854,ok,
20,Willow Shields,Willow Shields,32056806,2015-03-09T00:00:00Z,457,ok,
21,Alek Skarlatos,Alek Skarlatos,47705550,2015-09-07T00:00:00Z,48,ok,
21,Alexa PenaVega,Alexa PenaVega,636701,2015-09-07T00:00:00Z,2076,ok,
21,Andy Grammer,Andy Grammer,31284480,2015-09-07T00:00:00Z,734,ok,
21,Bindi Irwin,Bindi Irwin,7075860,2015-09-07T00:00:00Z,2005,ok,
21,Carlos PenaVega,Carlos PenaVega,25896674,2015-09-07T00:00:00Z,1878,ok,
21,Chaka Khan,Chaka Khan,346473,2015-09-07T00:00:00Z,1739,ok,
21,Gary Busey,Gary Busey,13030,2015-09-07T00:00:00Z,2801,ok,
21,Hayes Grier,Hayes Grier,47811832,2015-09-07T00:00:00Z,0,ok,
21,Kim Zolciak-Biermann,Kim Zolciak,24217539,2015-09-07T00:00:00Z,1313,ok,
21,Nick Carter,Nick Carter,1358569,2015-09-07T00:00:00Z,2947,ok,
21,Paula Deen,Paula Deen,1587917,2015-09-07T00:00:00Z,2271,ok,
21,Tamar Braxton,Tamar Braxton,1626277,2015-09-07T00:00:00Z,1724,ok,
21,Victor Espinoza,Victor Espinoza,9631181,2015-09-07T00:00:00Z,242,ok,
22,Antonio Brown,Antonio Brown,25725265,2016-03-14T00:00:00Z,1035,ok,
22,Doug Flutie,Doug Flutie,189559,2016-03-14T00:00:00Z,1548,ok,
22,Geraldo Rivera,Geraldo Rivera,156507,2016-03-14T00:00:00Z,2341,ok,
22,Ginger Zee,Ginger Zee,37160404,2016-03-14T00:00:00Z,212,ok,
22,Jodie Sweetin,Jodie Sweetin,162084,2016-03-14T00:00:00Z,1432,ok,
22,Kim Fields,Kim Fields,809006,2016-03-14T00:00:00Z,436,ok,
22,Marla Maples,Marla Maples,473806,2016-03-14T00:00:00Z,497,ok,
22,Mischa Barton,Mischa Barton,291520,2016-03-14T00:00:00Z,3324,ok,
22,Nyle DiMarco,Nyle DiMarco,47599064,2016-03-14T00:00:00Z,247,ok,
22,Paige VanZant,Paige VanZant,44481963,2016-03-14T00:00:00Z,231,ok,
22,Von Miller,Von Miller,24848538,2016-03-14T00:00:00Z,969,ok,
22,Wanya Morris,Wanya Morris,1963493,2016-03-14T00:00:00Z,190,ok,
23,Amber Rose,Amber Rose,22488385,2016-09-05T00:00:00Z,2234,ok,
23,Babyface,Babyface,1429186,2016-09-05T00:00:00Z,,disambiguation,Page is a disambiguation page (pageprops.disambiguation)
23,Calvin Johnson Jr.,Calvin Johnson,11061916,2016-09-05T00:00:00Z,3190,ok,
23,Jake T. Austin,Jake T. Austin,11470826,2016-09-05T00:00:00Z,4154,ok,
23,James Hinchcliffe,James Hinchcliffe,7914439,2016-09-05T00:00:00Z,364,ok,
23,Jana Kramer,Jana Kramer,23486950,2016-09-05T00:00:00Z,888,ok,
23,Laurie Hernandez,Laurie Hernandez,40600541,2016-09-05T00:00:00Z,216,ok,
23,Marilu Henner,Marilu Henner,559311,2016-09-05T00:00:00Z,643,ok,
23,Maureen McCormick,Maureen McCormick,3632577,2016-09-05T00:00:00Z,1122,ok,
23,Rick Perry,Rick Perry,545253,2016-09-05T00:00:00Z,5257,ok,
23,Ryan Lochte,Ryan Lochte,4057953,2016-09-05T00:00:00Z,1880,ok,
23,Terra Jole,Terra Jolé,52051491,2016-09-05T00:00:00Z,0,ok,
23,Vanilla Ice,Vanilla Ice,180532,2016-09-05T00:00:00Z,3871,ok,
24,Bonner Bolton,Bonner Bolton,53549975,2017-03-13T00:00:00Z,0,ok,
24,Charo,Charo,169281,2017-03-13T00:00:00Z,1218,ok,
24,Chris Kattan,Chris Kattan,577779,2017-03-13T00:00:00Z,780,ok,
24,David Ross,David Ross,1824177,2017-03-13T00:00:00Z,,disambiguation,Page is a disambiguation page (pageprops.disambiguation)
24,Erika Jayne,Erika Jayne,12889576,2017-03-13T00:00:00Z,463,ok,
24,Heather Morris,Heather Morris,25727676,2017-03-13T00:00:00Z,1308,ok,
24,Mr. T,Mr. T,19019,2017-03-13T00:00:00Z,5523,ok,
24,Nancy Kerrigan,Nancy Kerrigan,332815,2017-03-13T00:00:00Z,944,ok,
24,Nick Viall,Nick Viall,53562441,2017-03-13T00:00:00Z,0,ok,
24,Normani,Normani,38879280,2017-03-13T00:00:00Z,95,ok,
24,Rashad Jennings,Rashad Jennings,20824224,2017-03-13T00:00:00Z,239,ok,
24,Simone Biles,Simone Biles,38659992,2017-03-13T00:00:00Z,1396,ok,
25,Barbara Corcoran,Barbara Corcoran,26030611,2017-09-11T00:00:00Z,278,ok,
25,Debbie Gibson,Debbie Gibson,155723,2017-09-11T00:00:00Z,2076,ok,
25,Derek Fisher,Derek Fisher,1246851,2017-09-11T00:00:00Z,2431,ok,
25,Drew Scott,Drew Scott,50066161,2017-09-11T00:00:00Z,420,ok,
25,Frankie Muniz,Frankie Muniz,167144,2017-09-11T00:00:00Z,4043,ok,
25,Jordan Fisher,Jordan Fisher,11426541,2017-09-11T00:00:00Z,207,ok,
25,Lindsey Stirling,Lindsey Stirling,33554195,2017-09-11T00:00:00Z,,api_error,"count_revisions request failed: HTTPSConnectionPool(host='en.wikipedia.org', port=443): Read timed out. (read timeout=20.0)"
25,Nick Lachey,Nick Lachey,762775,2017-09-11T00:00:00Z,2706,ok,
25,Nikki Bella,Nikki Bella,50282071,2017-09-11T00:00:00Z,1220,ok,
25,Sasha Pieterse,Sasha Pieterse,2211870,2017-09-11T00:00:00Z,1940,ok,
25,Terrell Owens,Terrell Owens,428819,2017-09-11T00:00:00Z,8127,ok,
25,Vanessa Lachey,Vanessa Lachey,1888621,2017-09-11T00:00:00Z,1777,ok,
25,Victoria Arlen,Victoria Arlen,36894272,2017-09-11T00:00:00Z,73,ok,
26,Adam Rippon,Adam Rippon,12537457,2018-04-23T00:00:00Z,949,ok,
26,Arike Ogunbowale,Arike Ogunbowale,57059914,2018-04-23T00:00:00Z,25,ok,
26,Chris Mazdzer,Chris Mazdzer,25625908,2018-04-23T00:00:00Z,88,ok,
26,Jamie Anderson,Jamie Anderson,4794558,2018-04-23T00:00:00Z,,disambiguation,Page is a disambiguation page (pageprops.disambiguation)
26,Jennie Finch Daigle,Jennie Finch Daigle,,2018-04-23T00:00:00Z,,missing_title,Title not found (pageid=-1)
