season,season_premiere_date,season_finale_date,celebrity_name
21,2015-09-14,2015-11-24,Andy Grammer
21,2015-09-14,2015-11-24,Bindi Irwin
21,2015-09-14,2015-11-24,Carlos PenaVega
21,2015-09-14,2015-11-24,Chaka Khan
21,2015-09-14,2015-11-24,Gary Busey
21,2015-09-14,2015-11-24,Hayes Grier
21,2015-09-14,2015-11-24,Kim Zolciak-Biermann
21,2015-09-14,2015-11-24,Nick Carter
21,2015-09-14,2015-11-24,Paula Deen
21,2015-09-14,2015-11-24,Tamar Braxton
21,2015-09-14,2015-11-24,Victor Espinoza
22,2016-03-21,2016-05-24,Antonio Brown
22,2016-03-21,2016-05-24,Doug Flutie
22,2016-03-21,2016-05-24,Geraldo Rivera
22,2016-03-21,2016-05-24,Ginger Zee
22,2016-03-21,2016-05-24,Jodie Sweetin
22,2016-03-21,2016-05-24,Kim Fields
22,2016-03-21,2016-05-24,Marla Maples
22,2016-03-21,2016-05-24,Mischa Barton
22,2016-03-21,2016-05-24,Nyle DiMarco
22,2016-03-21,2016-05-24,Paige VanZant
22,2016-03-21,2016-05-24,Von Miller
22,2016-03-21,2016-05-24,Wanya Morris
23,2016-09-12,2016-11-22,Amber Rose
23,2016-09-12,2016-11-22,Babyface
23,2016-09-12,2016-11-22,Calvin Johnson Jr.
23,2016-09-12,2016-11-22,Jake T. Austin
23,2016-09-12,2016-11-22,James Hinchcliffe
23,2016-09-12,2016-11-22,Jana Kramer
23,2016-09-12,2016-11-22,Laurie Hernandez
23,2016-09-12,2016-11-22,Marilu Henner
23,2016-09-12,2016-11-22,Maureen McCormick
23,2016-09-12,2016-11-22,Rick Perry
23,2016-09-12,2016-11-22,Ryan Lochte
23,2016-09-12,2016-11-22,Terra Jole
23,2016-09-12,2016-11-22,Vanilla Ice
24,2017-03-20,2017-05-23,Bonner Bolton
24,2017-03-20,2017-05-23,Charo
24,2017-03-20,2017-05-23,Chris Kattan
24,2017-03-20,2017-05-23,David Ross
24,2017-03-20,2017-05-23,Erika Jayne
24,2017-03-20,2017-05-23,Heather Morris
24,2017-03-20,2017-05-23,Mr. T
24,2017-03-20,2017-05-23,Nancy Kerrigan
24,2017-03-20,2017-05-23,Nick Viall
24,2017-03-20,2017-05-23,Normani
24,2017-03-20,2017-05-23,Rashad Jennings
24,2017-03-20,2017-05-23,Simone Biles
25,2017-09-18,2017-11-21,Barbara Corcoran
25,2017-09-18,2017-11-21,Debbie Gibson
25,2017-09-18,2017-11-21,Derek Fisher
25,2017-09-18,2017-11-21,Drew Scott
25,2017-09-18,2017-11-21,Frankie Muniz
25,2017-09-18,2017-11-21,Jordan Fisher
25,2017-09-18,2017-11-21,Lindsey Stirling
25,2017-09-18,2017-11-21,Nick Lachey
25,2017-09-18,2017-11-21,Nikki Bella
25,2017-09-18,2017-11-21,Sasha Pieterse
25,2017-09-18,2017-11-21,Terrell Owens
25,2017-09-18,2017-11-21,Vanessa Lachey
25,2017-09-18,2017-11-21,Victoria Arlen
26,2018-04-30,2018-05-21,Adam Rippon
26,2018-04-30,2018-05-21,Arike Ogunbowale
26,2018-04-30,2018-05-21,Chris Mazdzer
26,2018-04-30,2018-05-21,Jamie Anderson
26,2018-04-30,2018-05-21,Jennie Finch Daigle
26,2018-04-30,2018-05-21,Johnny Damon
26,2018-04-30,2018-05-21,Josh Norman
26,2018-04-30,2018-05-21,Kareem Abdul-Jabbar
26,2018-04-30,2018-05-21,Mirai Nagasu
26,2018-04-30,2018-05-21,Tonya Harding
27,2018-09-24,2018-11-19,Alexis Ren
27,2018-09-24,2018-11-19,Bobby Bones
27,2018-09-24,2018-11-19,Danelle Umstead
27,2018-09-24,2018-11-19,DeMarcus Ware
27,2018-09-24,2018-11-19,Evanna Lynch
27,2018-09-24,2018-11-19,Joe Amabile
27,2018-09-24,2018-11-19,John Schneider
27,2018-09-24,2018-11-19,Juan Pablo Di Pace
27,2018-09-24,2018-11-19,Mary Lou Retton
27,2018-09-24,2018-11-19,Milo Manheim
27,2018-09-24,2018-11-19,Nancy McKeon
27,2018-09-24,2018-11-19,Nikki Glaser
27,2018-09-24,2018-11-19,Tinashe
28,2019-09-16,2019-11-25,Ally Brooke
28,2019-09-16,2019-11-25,Hannah Brown
28,2019-09-16,2019-11-25,James Van Der Beek
28,2019-09-16,2019-11-25,Karamo Brown
28,2019-09-16,2019-11-25,Kate Flannery
28,2019-09-16,2019-11-25,Kel Mitchell
28,2019-09-16,2019-11-25,Lamar Odom
28,2019-09-16,2019-11-25,Lauren Alaina
28,2019-09-16,2019-11-25,Mary Wilson
28,2019-09-16,2019-11-25,Ray Lewis
28,2019-09-16,2019-11-25,Sailor Brinkley-Cook
28,2019-09-16,2019-11-25,Sean Spicer
29,2020-09-14,2020-11-23,AJ McLean
29,2020-09-14,2020-11-23,Anne Heche
29,2020-09-14,2020-11-23,Carole Baskin
29,2020-09-14,2020-11-23,Charles Oakley
29,2020-09-14,2020-11-23,Chrishell Stause
29,2020-09-14,2020-11-23,Jeannie Mai
29,2020-09-14,2020-11-23,Jesse Metcalfe
29,2020-09-14,2020-11-23,Johnny Weir
29,2020-09-14,2020-11-23,Justina Machado
29,2020-09-14,2020-11-23,Kaitlyn Bristowe
29,2020-09-14,2020-11-23,Monica Aldama
29,2020-09-14,2020-11-23,Nelly
29,2020-09-14,2020-11-23,Nev Schulman
29,2020-09-14,2020-11-23,Skai Jackson
29,2020-09-14,2020-11-23,Veron Davis
30,2021-09-20,2021-11-22,Amanda Kloots
30,2021-09-20,2021-11-22,Brian Austin Green
30,2021-09-20,2021-11-22,Christine Chiu
30,2021-09-20,2021-11-22,Cody Rigsby
30,2021-09-20,2021-11-22,Iman Shumpert
30,2021-09-20,2021-11-22,Jimmie Allen
30,2021-09-20,2021-11-22,JoJo Siwa
30,2021-09-20,2021-11-22,Kenya Moore
30,2021-09-20,2021-11-22,Martin Kove
30,2021-09-20,2021-11-22,Matt James
30,2021-09-20,2021-11-22,Melanie C
30,2021-09-20,2021-11-22,Melora Hardin
30,2021-09-20,2021-11-22,"Mike ""The Miz"" Mizanin"
30,2021-09-20,2021-11-22,Olivia Jade
30,2021-09-20,2021-11-22,Suni Lee
31,2022-09-19,2022-11-21,Charli D'Amelio
31,2022-09-19,2022-11-21,Cheryl Ladd
31,2022-09-19,2022-11-21,Daniel Durant
31,2022-09-19,2022-11-21,Gabby Windey
31,2022-09-19,2022-11-21,Heidi D'Amelio
31,2022-09-19,2022-11-21,Jason Lewis
31,2022-09-19,2022-11-21,Jessie James Decker
31,2022-09-19,2022-11-21,Jordin Sparks
31,2022-09-19,2022-11-21,Joseph Baena
31,2022-09-19,2022-11-21,Sam Champion
31,2022-09-19,2022-11-21,Selma Blair
31,2022-09-19,2022-11-21,Shangela
31,2022-09-19,2022-11-21,Teresa Giudice
31,2022-09-19,2022-11-21,Trevor Donovan
31,2022-09-19,2022-11-21,Vinny Guadagnino
31,2022-09-19,2022-11-21,Wayne Brady
32,2023-09-26,2023-12-05,Adrian Peterson
32,2023-09-26,2023-12-05,Alyson Hannigan
32,2023-09-26,2023-12-05,Ariana Madix
32,2023-09-26,2023-12-05,Barry Williams
32,2023-09-26,2023-12-05,Charity Lawson
32,2023-09-26,2023-12-05,Harry Jowsey
32,2023-09-26,2023-12-05,Jamie Lynn Spears
32,2023-09-26,2023-12-05,Jason Mraz
32,2023-09-26,2023-12-05,Lele Pons
32,2023-09-26,2023-12-05,Matt Walsh
32,2023-09-26,2023-12-05,Mauricio Umansky
32,2023-09-26,2023-12-05,Mira Sorvino
32,2023-09-26,2023-12-05,Tyson Beckford
32,2023-09-26,2023-12-05,Xochitl Gomez
33,2024-09-17,2024-11-26,Anna Delvey
33,2024-09-17,2024-11-26,Brooks Nader
33,2024-09-17,2024-11-26,Chandler Kinney
33,2024-09-17,2024-11-26,Danny Amendola
33,2024-09-17,2024-11-26,Dwight Howard
33,2024-09-17,2024-11-26,Eric Roberts
33,2024-09-17,2024-11-26,Ilona Maher
33,2024-09-17,2024-11-26,Jenn Tran
33,2024-09-17,2024-11-26,Joey Graziadei
33,2024-09-17,2024-11-26,Phaedra Parks
33,2024-09-17,2024-11-26,Reginald VelJohnson
33,2024-09-17,2024-11-26,Stephen Nedoroscik
33,2024-09-17,2024-11-26,Tori Spelling
34,2025-09-16,2025-11-25,Alix Earle
34,2025-09-16,2025-11-25,Andy Richter
34,2025-09-16,2025-11-25,Baron Davis
34,2025-09-16,2025-11-25,Corey Feldman
34,2025-09-16,2025-11-25,Danielle Fishel
34,2025-09-16,2025-11-25,Dylan Efron
34,2025-09-16,2025-11-25,Elaine Hendrix
34,2025-09-16,2025-11-25,Hilaria Baldwin
34,2025-09-16,2025-11-25,Jen Affleck
34,2025-09-16,2025-11-25,Jordan Chiles
34,2025-09-16,2025-11-25,Lauren Jauregui
34,2025-09-16,2025-11-25,Robert Irwin
34,2025-09-16,2025-11-25,Scott Hoying
34,2025-09-16,2025-11-25,Whitney Leavitt
