season,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,results,placement_raw,placement_from_place,elim_week,placement_final,placement_source,item_id
4,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,2nd Place,2,NA,NA,2,placement_col,S4:Joey Fatone
4,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,Eliminated Week 7,6,NA,NA,6,placement_col,S4:John Ratzenberger
4,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,3rd Place,3,NA,NA,3,placement_col,S4:Laila Ali
4,Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,Eliminated Week 4,9,NA,NA,9,placement_col,S4:Leeza Gibbons
4,Paulina Porizkova,Alec Mazo,Model,Unknown,Czechoslovakia,41,Eliminated Week 2,11,NA,NA,11,placement_col,S4:Paulina Porizkova
4,Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,Eliminated Week 3,10,NA,NA,10,placement_col,S4:Shandi Finnessey
5,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,Eliminated Week 2,11,NA,NA,11,placement_col,S5:Albert Reed
5,Cameron Mathison,Edyta Sliwinska,Actor/Actress,Unknown,Canada,38,Eliminated Week 8,5,NA,NA,5,placement_col,S5:Cameron Mathison
5,Floyd Mayweather Jr.,Karina Smirnoff,Athlete,Michigan,United States,30,Eliminated Week 4,9,NA,NA,9,placement_col,S5:Floyd Mayweather Jr.
5,Helio Castroneves,Julianne Hough,Racing Driver,Unknown,Brazil,32,1st Place,1,NA,NA,1,placement_col,S5:Helio Castroneves
5,Jane Seymour,Tony Dovolani,Actor/Actress,Unknown,England,56,Eliminated Week 7,6,NA,NA,6,placement_col,S5:Jane Seymour
5,Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,Eliminated Week 9,4,NA,NA,4,placement_col,S5:Jennie Garth
5,Josie Maran,Alec Mazo,Model,California,United States,29,Eliminated Week 1,12,NA,NA,12,placement_col,S5:Josie Maran
5,Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,3rd Place,3,NA,NA,3,placement_col,S5:Marie Osmond
5,Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,Eliminated Week 5,8,NA,NA,8,placement_col,S5:Mark Cuban
5,Mel B,Maksim Chmerkoskiy,Singer/Rapper,Unknown,England,32,2nd Place,2,NA,NA,2,placement_col,S5:Mel B
5,Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,Eliminated Week 6,7,NA,NA,7,placement_col,S5:Sabrina Bryan
5,Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,Eliminated Week 3,10,NA,NA,10,placement_col,S5:Wayne Newton
6,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,Eliminated Week 4,9,NA,NA,9,placement_col,S6:Adam Carolla
6,Cristian de la Fuente,Cheryl Burke,Actor/Actress,Unknown,Chile,34,3rd Place,3,NA,NA,3,placement_col,S6:Cristian de la Fuente
6,Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,2nd Place,2,NA,NA,2,placement_col,S6:Jason Taylor
6,Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,1st Place,1,NA,NA,1,placement_col,S6:Kristi Yamaguchi
6,Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,Eliminated Week 8,5,NA,NA,5,placement_col,S6:Mario
6,Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,Eliminated Week 9,4,NA,NA,4,placement_col,S6:Marissa Jaret Winokur
6,Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,Eliminated Week 6,7,NA,NA,7,placement_col,S6:Marlee Matlin
6,Monica Seles,Jonathan Roberts,Athlete,Unknown,Yugoslavia,34,Eliminated Week 2,11,NA,NA,11,placement_col,S6:Monica Seles
6,Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,Eliminated Week 2,12,NA,NA,12,placement_col,S6:Penn Jillette
6,Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,Eliminated Week 5,8,NA,NA,8,placement_col,S6:Priscilla Presley
6,Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,Eliminated Week 7,6,NA,NA,6,placement_col,S6:Shannon Elizabeth
6,Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,Eliminated Week 3,10,NA,NA,10,placement_col,S6:Steve Guttenberg
7,Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,1st Place,1,NA,NA,1,placement_col,S7:Brooke Burke
7,Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,Eliminated Week 6,7,NA,NA,7,placement_col,S7:Cloris Leachman
7,Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,Eliminated Week 9,4,NA,NA,4,placement_col,S7:Cody Linley
7,Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,Eliminated Week 1,13,NA,NA,13,placement_col,S7:Jeffrey Ross
7,Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,Eliminated Week 2,11,NA,NA,11,placement_col,S7:Kim Kardashian
7,Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,3rd Place,3,NA,NA,3,placement_col,S7:Lance Bass
7,Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,Eliminated Week 8,5,NA,NA,5,placement_col,S7:Maurice Greene
7,Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,Withdrew,10,NA,NA,10,placement_col,S7:Misty May-Treanor
7,Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,Eliminated Week 4,9,NA,NA,9,placement_col,S7:Rocco DiSpirito
7,Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,Eliminated Week 7,6,NA,NA,6,placement_col,S7:Susan Lucci
7,Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,Eliminated Week 1,12,NA,NA,12,placement_col,S7:Ted McGinley
7,Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,Eliminated Week 5,8,NA,NA,8,placement_col,S7:Toni Braxton
7,Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,2nd Place,2,NA,NA,2,placement_col,S7:Warren Sapp
8,Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,Eliminated Week 2,13,NA,NA,13,placement_col,S8:Belinda Carlisle
8,Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,Eliminated Week 8,6,NA,NA,6,placement_col,S8:Chuck Wicks
8,David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,Eliminated Week 5,9,NA,NA,9,placement_col,S8:David Alan Grier
8,Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,Eliminated Week 3,12,NA,NA,12,placement_col,S8:Denise Richards
8,Gilles Marini,Cheryl Burke,Actor/Actress,Unknown,France,33,2nd Place,2,NA,NA,2,placement_col,S8:Gilles Marini
8,Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,Eliminated Week 4,11,NA,NA,11,placement_col,S8:Holly Madison
8,Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,Eliminated Week 7,7,NA,NA,7,placement_col,S8:Lawrence Taylor
8,Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,Eliminated Week 9,5,NA,NA,5,placement_col,S8:Lil' Kim
8,Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,3rd Place,3,NA,NA,3,placement_col,S8:Melissa Rycroft
8,Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,1st Place,1,NA,NA,1,placement_col,S8:Shawn Johnson
8,Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,Eliminated Week 4,10,NA,NA,10,placement_col,S8:Steve Wozniak
8,Steve-O,Lacey Schwimmer,TV Personality,Unknown,England,34,Eliminated Week 6,8,NA,NA,8,placement_col,S8:Steve-O
8,Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,Eliminated Week 10,4,NA,NA,4,placement_col,S8:Ty Murray
9,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,Eliminated Week 8,5,NA,NA,5,placement_col,S9:Aaron Carter
9,Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,Eliminated Week 1,16,NA,NA,16,placement_col,S9:Ashley Hamiliton
9,Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,Eliminated Week 4,11,NA,NA,11,placement_col,S9:Chuck Liddell
9,Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,Eliminated Week 3,12,NA,NA,12,placement_col,S9:Debi Mazar
9,Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,1st Place,1,NA,NA,1,placement_col,S9:Donny Osmond
9,Joanna Krupa,Derek Hough,Model,Unknown,Poland,30,Eliminated Week 9,4,NA,NA,4,placement_col,S9:Joanna Krupa
9,Kathy Ireland,Tony Dovolani,Model,California,United States,46,Eliminated Week 2,14,NA,NA,14,placement_col,S9:Kathy Ireland
9,Kelly Osbourne,Louis van Amstel,TV Personality,Unknown,England,24,3rd Place,3,NA,NA,3,placement_col,S9:Kelly Osbourne
9,Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,Eliminated Week 6,8,NA,NA,8,placement_col,S9:Louie Vito
9,Macy Gray,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,Eliminated Week 1,15,NA,NA,15,placement_col,S9:Macy Gray
9,Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,Eliminated Week 7,6,NA,NA,6,placement_col,S9:Mark Dacascos
9,Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,Eliminated Week 6,9,NA,NA,9,placement_col,S9:Melissa Joan Hart
9,Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,Eliminated Week 7,7,NA,NA,7,placement_col,S9:Michael Irvin
9,Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,2nd Place,2,NA,NA,2,placement_col,S9:Mya
9,Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,Eliminated Week 5,10,NA,NA,10,placement_col,S9:Natalie Coughlin
9,Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,Withdrew,13,NA,NA,13,placement_col,S9:Tom DeLay
10,Aiden Turner,Edyta Sliwinska,Actor/Actress,Unknown,England,32,Eliminated Week 4,9,NA,NA,9,placement_col,S10:Aiden Turner
10,Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,Eliminated Week 3,10,NA,NA,10,placement_col,S10:Buzz Aldrin
10,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,Eliminated Week 9,4,NA,NA,4,placement_col,S10:Chad Ochocinco
10,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,NA,NA,3,placement_col,S10:Erin Andrews
10,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,NA,NA,2,placement_col,S10:Evan Lysacek
10,Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,Eliminated Week 6,7,NA,NA,7,placement_col,S10:Jake Pavelka
10,Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,Eliminated Week 5,8,NA,NA,8,placement_col,S10:Kate Gosselin
10,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,NA,NA,1,placement_col,S10:Nicole Scherzinger
10,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,Eliminated Week 8,5,NA,NA,5,placement_col,S10:Niecy Nash
10,Pamela Anderson,Damian Whitewood,Model,Unknown,Canada,42,Eliminated Week 7,6,NA,NA,6,placement_col,S10:Pamela Anderson
10,Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,Eliminated Week 2,11,NA,NA,11,placement_col,S10:Shannen Doherty
11,Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,Eliminated Week 6,7,NA,NA,7,placement_col,S11:Audrina Patridge
11,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,NA,NA,4,placement_col,S11:Brandy
11,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,NA,NA,3,placement_col,S11:Bristol Palin
11,David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,Eliminated Week 1,12,NA,NA,12,placement_col,S11:David Hasselhoff
11,Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,Eliminated Week 5,8,NA,NA,8,placement_col,S11:Florence Henderson
11,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,NA,NA,1,placement_col,S11:Jennifer Grey
11,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,Eliminated Week 8,5,NA,NA,5,placement_col,S11:Kurt Warner
11,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,NA,NA,2,placement_col,S11:Kyle Massey
11,Margaret Cho,Louis van Amstel,Comedian,California,United States,41,Eliminated Week 3,10,NA,NA,10,placement_col,S11:Margaret Cho
11,Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,Eliminated Week 2,11,NA,NA,11,placement_col,S11:Michael Bolton
11,Rick Fox,Cheryl Burke,Athlete,Unknown,Canada,41,Eliminated Week 7,6,NA,NA,6,placement_col,S11:Rick Fox
11,The Situation,Karina Smirnoff,TV Personality,New York,United States,28,Eliminated Week 4,9,NA,NA,9,placement_col,S11:The Situation
12,Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,3rd Place,3,NA,NA,3,placement_col,S12:Chelsea Kane
12,Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,Eliminated Week 6,7,NA,NA,7,placement_col,S12:Chris Jericho
12,Hines Ward,Kym Johnson,Athlete,Unknown,South Korea,35,1st Place,1,NA,NA,1,placement_col,S12:Hines Ward
12,Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,Eliminated Week 7,6,NA,NA,6,placement_col,S12:Kendra Wilkinson
12,Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,2nd Place,2,NA,NA,2,placement_col,S12:Kirstie Alley
12,Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,Eliminated Week 2,11,NA,NA,11,placement_col,S12:Mike Catherwood
12,Petra Nemcova,Dmitry Chaplin,Model,Unknown,Czechoslovakia,31,Eliminated Week 5,8,NA,NA,8,placement_col,S12:Petra Nemcova
12,Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,Eliminated Week 9,4,NA,NA,4,placement_col,S12:Ralph Macchio
12,Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,Eliminated Week 8,5,NA,NA,5,placement_col,S12:Romeo
12,Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,Eliminated Week 4,9,NA,NA,9,placement_col,S12:Sugar Ray Leonard
12,Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,Eliminated Week 3,10,NA,NA,10,placement_col,S12:Wendy Williams
13,Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,Eliminated Week 5,8,NA,NA,8,placement_col,S13:Carson Kressley
13,Chaz Bono,Lacey Schwimmer,TV Personality,California,United States,42,Eliminated Week 6,7,NA,NA,7,placement_col,S13:Chaz Bono
13,Chynna Phillips,Tony Dovolani,Singer/Rapper,California,United States,43,Eliminated Week 4,9,NA,NA,9,placement_col,S13:Chynna Phillips
13,David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,Eliminated Week 7,6,NA,NA,6,placement_col,S13:David Arquette
13,Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,Unknown,Italy,33,Eliminated Week 2,11,NA,NA,11,placement_col,S13:Elisabetta Canalis
13,Hope Solo,Maksim Chmerkoskiy,Athlete,Washington,United States,30,Eliminated Week 9,4,NA,NA,4,placement_col,S13:Hope Solo
13,J.R. Martinez,Karina Smirnoff,Actor/Actress,Louisiana,United States,28,1st Place,1,NA,NA,1,placement_col,S13:J.R. Martinez
13,Kristin Cavallari,Mark Ballas,TV Personality,Colorado,United States,24,Eliminated Week 3,10,NA,NA,10,placement_col,S13:Kristin Cavallari
13,Metta World Peace (Ron),Peta Murgatroyd,Athlete,New York,United States,31,Eliminated Week 1,12,NA,NA,12,placement_col,S13:Metta World Peace (Ron)
13,Nancy Grace,Tristan MacManus,TV Personality,Georgia,United States,51,Eliminated Week 8,5,NA,NA,5,placement_col,S13:Nancy Grace
13,Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,3rd Place,3,NA,NA,3,placement_col,S13:Ricki Lake
13,Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,2nd Place,2,NA,NA,2,placement_col,S13:Rob Kardashian
14,Donald Driver,Peta Murgatroyd,Athlete,Texas,United States,37,1st Place,1,NA,NA,1,placement_col,S14:Donald Driver
14,Gavin DeGraw,Karina Smirnoff,Singer/Rapper,New York,United States,35,Eliminated Week 5,9,NA,NA,9,placement_col,S14:Gavin DeGraw
14,Gladys Knight,Tristan MacManus,Singer/Rapper,Georgia,United States,67,Eliminated Week 6,8,NA,NA,8,placement_col,S14:Gladys Knight
14,Jack Wagner,Anna Trebunskaya,Actor/Actress,Missouri,United States,52,Eliminated Week 3,11,NA,NA,11,placement_col,S14:Jack Wagner
14,Jaleel White,Kym Johnson,Actor/Actress,California,United States,35,Eliminated Week 7,7,NA,NA,7,placement_col,S14:Jaleel White
14,Katherine Jenkins,Mark Ballas,Singer/Rapper,Unknown,Wales,31,2nd Place,2,NA,NA,2,placement_col,S14:Katherine Jenkins
14,Maria Menounos,Derek Hough,TV Personality,Massachusetts,United States,33,Eliminated Week 9,4,NA,NA,4,placement_col,S14:Maria Menounos
14,Martina Navratilova,Tony Dovolani,Athlete,Unknown,Czechoslovakia,55,Eliminated Week 2,12,NA,NA,12,placement_col,S14:Martina Navratilova
14,Melissa Gilbert,Maksim Chmerkoskiy,Actor/Actress,California,United States,47,Eliminated Week 8,5,NA,NA,5,placement_col,S14:Melissa Gilbert
14,Roshon Fegan,Chelsie Hightower,Actor/Actress,California,United States,20,Eliminated Week 8,6,NA,NA,6,placement_col,S14:Roshon Fegan
14,Sherri Sheperd,Valentin Chmerkovskiy,Actor/Actress,Illinois,United States,44,Eliminated Week 4,10,NA,NA,10,placement_col,S14:Sherri Sheperd
14,William Levy,Cheryl Burke,Actor/Actress,Unknown,Cuba,31,3rd Place,3,NA,NA,3,placement_col,S14:William Levy
15,Apolo Anton Ohno,Karina Smirnoff,Athlete,Washington,United States,30,Eliminated Week 9,5,NA,NA,5,placement_col,S15:Apolo Anton Ohno
15,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,Eliminated Week 4,9,NA,NA,9,placement_col,S15:Bristol Palin
15,Drew Lachey,Anna Trebunskaya,Singer/Rapper,Ohio,United States,36,Eliminated Week 3,11,NA,NA,11,placement_col,S15:Drew Lachey
15,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,43,Eliminated Week 9,4,NA,NA,4,placement_col,S15:Emmitt Smith
15,Gilles Marini,Peta Murgatroyd,Actor/Actress,Unknown,France,36,Eliminated Week 8,6,NA,NA,6,placement_col,S15:Gilles Marini
15,Helio Castroneves,Chelsie Hightower,Racing Driver,Unknown,Brazil,37,Eliminated Week 3,10,NA,NA,10,placement_col,S15:Helio Castroneves
15,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,35,Eliminated Week 2,12,NA,NA,12,placement_col,S15:Joey Fatone
15,Kelly Monaco,Valentin Chmerkovskiy,Actor/Actress,Pennsylvania,United States,36,3rd Place,3,NA,NA,3,placement_col,S15:Kelly Monaco
15,Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,61,Eliminated Week 8,7,NA,NA,7,placement_col,S15:Kirstie Alley
15,Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,29,1st Place,1,NA,NA,1,placement_col,S15:Melissa Rycroft
15,Pamela Anderson,Tristan MacManus,Model,Unknown,Canada,45,Eliminated Week 1,13,NA,NA,13,placement_col,S15:Pamela Anderson
15,Sabrina Bryan,Louis van Amstel,Actor/Actress,California,United States,28,Eliminated Week 6,8,NA,NA,8,placement_col,S15:Sabrina Bryan
15,Shawn Johnson,Derek Hough,Athlete,Iowa,United States,20,2nd Place,2,NA,NA,2,placement_col,S15:Shawn Johnson
16,Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,Eliminated Week 10,4,NA,NA,4,placement_col,S16:Alexandra Raisman
16,Andy Dick,Sharna Burgess,Comedian,South Carolina,United States,47,Eliminated Week 7,7,NA,NA,7,placement_col,S16:Andy Dick
16,D. L. Hughley,Cheryl Burke,Comedian,Virginia,United States,50,Eliminated Week 5,9,NA,NA,9,placement_col,S16:D. L. Hughley
16,Dorothy Hamill,Tristan MacManus,Athlete,Illinois,United States,56,Withdrew,12,NA,NA,12,placement_col,S16:Dorothy Hamill
16,Ingo Rademacher,Kym Johnson,Actor/Actress,Unknown,Germany,41,Eliminated Week 9,5,NA,NA,5,placement_col,S16:Ingo Rademacher
16,Jacoby Jones,Karina Smirnoff,Athlete,Louisiana,United States,28,3rd Place,3,NA,NA,3,placement_col,S16:Jacoby Jones
16,Kellie Pickler,Derek Hough,Singer/Rapper,North Carolina,United States,26,1st Place,1,NA,NA,1,placement_col,S16:Kellie Pickler
16,Lisa Vanderpump,Gleb Savchenko,TV Personality,Unknown,England,52,Eliminated Week 4,10,NA,NA,10,placement_col,S16:Lisa Vanderpump
16,Sean Lowe,Peta Murgatroyd,TV Personality,Texas,United States,29,Eliminated Week 8,6,NA,NA,6,placement_col,S16:Sean Lowe
16,Victor Ortiz,Lindsay Arnold,Athlete,Kansas,United States,26,Eliminated Week 6,8,NA,NA,8,placement_col,S16:Victor Ortiz
16,Wynonna Judd,Tony Dovolani,Singer/Rapper,Kentucky,United States,48,Eliminated Week 3,11,NA,NA,11,placement_col,S16:Wynonna Judd
16,Zendaya,Valentin Chmerkovskiy,Actor/Actress,California,United States,16,2nd Place,2,NA,NA,2,placement_col,S16:Zendaya
17,Amber Riley,Derek Hough,Actor/Actress,California,United States,27,1st Place,1,NA,NA,1,placement_col,S17:Amber Riley
17,Bill Engvall,Emma Slater,Comedian,Texas,United States,56,Eliminated Week 11,4,NA,NA,4,placement_col,S17:Bill Engvall
17,Bill Nye,Tyne Stecklein,TV Personality,Washington D.C.,United States,57,Eliminated Week 3,11,NA,NA,11,placement_col,S17:Bill Nye
17,Brant Daugherty,Peta Murgatroyd,Actor/Actress,Ohio,United States,28,Eliminated Week 8,7,NA,NA,7,placement_col,S17:Brant Daugherty
