season,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,placement_final,placement_source
15,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,35,12,placement_col
15,Kelly Monaco,Valentin Chmerkovskiy,Actor/Actress,Pennsylvania,United States,36,3,placement_col
15,Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,61,7,placement_col
15,Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,29,1,placement_col
15,Pamela Anderson,Tristan MacManus,Model,NA,Canada,45,13,placement_col
15,Sabrina Bryan,Louis van Amstel,Actor/Actress,California,United States,28,8,placement_col
15,Shawn Johnson,Derek Hough,Athlete,Iowa,United States,20,2,placement_col
16,Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,4,placement_col
16,Andy Dick,Sharna Burgess,Comedian,South Carolina,United States,47,7,placement_col
16,D. L. Hughley,Cheryl Burke,Comedian,Virginia,United States,50,9,placement_col
16,Dorothy Hamill,Tristan MacManus,Athlete,Illinois,United States,56,12,placement_col
16,Ingo Rademacher,Kym Johnson,Actor/Actress,NA,Germany,41,5,placement_col
16,Jacoby Jones,Karina Smirnoff,Athlete,Louisiana,United States,28,3,placement_col
16,Kellie Pickler,Derek Hough,Singer/Rapper,North Carolina,United States,26,1,placement_col
16,Lisa Vanderpump,Gleb Savchenko,TV Personality,NA,England,52,10,placement_col
16,Sean Lowe,Peta Murgatroyd,TV Personality,Texas,United States,29,6,placement_col
16,Victor Ortiz,Lindsay Arnold,Athlete,Kansas,United States,26,8,placement_col
16,Wynonna Judd,Tony Dovolani,Singer/Rapper,Kentucky,United States,48,11,placement_col
16,Zendaya,Valentin Chmerkovskiy,Actor/Actress,California,United States,16,2,placement_col
17,Amber Riley,Derek Hough,Actor/Actress,California,United States,27,1,placement_col
17,Bill Engvall,Emma Slater,Comedian,Texas,United States,56,4,placement_col
17,Bill Nye,Tyne Stecklein,TV Personality,Washington D.C.,United States,57,11,placement_col
17,Brant Daugherty,Peta Murgatroyd,Actor/Actress,Ohio,United States,28,7,placement_col
17,Christina Milian,Mark Ballas,Singer/Rapper,New Jersey,United States,31,9,placement_col
17,Corbin Bleu,Karina Smirnoff,Actor/Actress,New York,United States,24,2,placement_col
17,Elizabeth Berkley Lauren,Valentin Chmerkovskiy,Actor/Actress,Michigan,United States,39,6,placement_col
17,Jack Osbourne,Cheryl Burke,TV Personality,NA,England,27,3,placement_col
17,Keyshawn Johnson,Sharna Burgess,Athlete,California,United States,41,12,placement_col
17,Leah Remini,Tony Dovolani,Actor/Actress,New York,United States,43,5,placement_col
17,"Nicole ""Snooki"" Polizzi",Sasha Farber,TV Personality,NA,Chile,25,8,placement_col
17,Valerie Harper,Tristan MacManus,Actor/Actress,New York,United States,74,10,placement_col
18,Amy Purdy,Derek Hough,Athlete,Nevada,United States,34,2,placement_col
18,Billy Dee Williams,Emma Slater,Actor/Actress,New York,United States,76,10,placement_col
18,Candace Cameron Bure,Mark Ballas,Actor/Actress,California,United States,37,3,placement_col
18,Charlie White,Sharna Burgess,Athlete,Michigan,United States,26,5,placement_col
18,Cody Simpson,Witney Carson,Singer/Rapper,NA,Australia,17,9,placement_col
18,Danica McKellar,Valentin Chmerkovskiy,Actor/Actress,California,United States,39,6,placement_col
18,Diana Nyad,Henry Byalikov,Athlete,New York,United States,64,12,placement_col
18,Drew Carey,Cheryl Burke,Comedian,Ohio,United States,55,8,placement_col
18,James Maslow,Peta Murgatroyd,Actor/Actress,New York,United States,23,4,placement_col
18,Meryl Davis,Maksim Chmerkoskiy,Athlete,Michigan,United States,27,1,placement_col
18,NeNe Leakes,Tony Dovolani,TV Personality,New York,United States,46,7,placement_col
18,Sean Avery,Karina Smirnoff,Athlete,NA,Canada,33,11,placement_col
19,Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,1,placement_col
19,Antonio Sabato Jr.,Cheryl Burke,Actor/Actress,NA,Italy,42,8,placement_col
19,Bethany Mota,Derek Hough,Social Media Personality,California,United States,18,4,placement_col
19,Betsey Johnson,Tony Dovolani,Fashion Designer,Connecticut,United States,72,10,placement_col
19,Janel Parrish,Valentin Chmerkovskiy,Actor/Actress,Hawaii,United States,25,3,placement_col
19,Jonathan Bennett,Allison Holker,Actor/Actress,Ohio,United States,33,9,placement_col
19,Lea Thompson,Artem Chigvintsev,Actor/Actress,Minnesota,United States,53,6,placement_col
19,Lolo Jones,Keo Motsepe,Athlete,Iowa,United States,32,13,placement_col
19,Michael Waltrip,Emma Slater,Racing Driver,Kentucky,United States,51,7,placement_col
19,Randy Couture,Karina Smirnoff,Athlete,Washington,United States,51,11,placement_col
19,Sadie Robertson,Mark Ballas,TV Personality,Louisiana,United States,17,2,placement_col
19,Tavis Smiley,Sharna Burgess,Radio Personality,Mississippi,United States,50,12,placement_col
19,Tommy Chong,Peta Murgatroyd,Comedian,NA,Canada,76,5,placement_col
20,Charlotte McKinney,Keo Motsepe,Model,Florida,United States,21,11,placement_col
20,Chris Soules,Witney Carson,TV Personality,Iowa,United States,33,5,placement_col
20,Michael Sam,Peta Murgatroyd,Athlete,Texas,United States,25,10,placement_col
20,Nastia Liukin,Derek Hough,Athlete,NA,Russia,25,4,placement_col
20,Noah Galloway,Sharna Burgess,Motivational Speaker,Alabama,United States,33,3,placement_col
20,Patti LaBelle,Artem Chigvintsev,Singer/Rapper,Pennsylvania,United States,70,8,placement_col
20,Redfoo,Emma Slater,Singer/Rapper,California,United States,39,12,placement_col
20,Riker Lynch,Allison Holker,Actor/Actress,Colorado,United States,23,2,placement_col
20,Robert Herjavec,Kym Johnson,Entrepreneur,NA,Croatia,52,6,placement_col
20,Rumer Willis,Valentin Chmerkovskiy,Actor/Actress,Kentucky,United States,26,1,placement_col
20,Suzanne Somers,Tony Dovolani,Actor/Actress,California,United States,68,9,placement_col
20,Willow Shields,Mark Ballas,Actor/Actress,New Mexico,United States,14,7,placement_col
21,Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,3,placement_col
21,Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,6,placement_col
21,Andy Grammer,Allison Holker,Singer/Rapper,California,United States,31,7,placement_col
21,Bindi Irwin,Derek Hough,TV Personality,NA,Australia,17,1,placement_col
21,Carlos PenaVega,Witney Carson,Actor/Actress,Missouri,United States,26,4,placement_col
21,Chaka Khan,Keo Motsepe,Singer/Rapper,Illinois,United States,62,13,placement_col
21,Gary Busey,Anna Trebunskaya,Actor/Actress,Texas,United States,71,10,placement_col
21,Hayes Grier,Emma Slater,Social Media Personality,North Carolina,United States,15,8,placement_col
21,Kim Zolciak-Biermann,Tony Dovolani,TV Personality,Florida,United States,37,11,placement_col
21,Nick Carter,Sharna Burgess,Singer/Rapper,New York,United States,35,2,placement_col
21,Paula Deen,Louis van Amstel,TV Personality,Georgia,United States,68,9,placement_col
21,Tamar Braxton,Valentin Chmerkovskiy,Singer/Rapper,Maryland,United States,38,5,placement_col
21,Victor Espinoza,Karina Smirnoff,Athlete,NA,Mexico,43,12,placement_col
22,Antonio Brown,Sharna Burgess,Athlete,Florida,United States,27,5,placement_col
22,Doug Flutie,Karina Smirnoff,Athlete,Maryland,United States,53,9,placement_col
22,Geraldo Rivera,Edyta Sliwinska,Journalist,New York,United States,72,12,placement_col
22,Ginger Zee,Valentin Chmerkovskiy,News Anchor,California,United States,35,3,placement_col
22,Jodie Sweetin,Keo Motsepe,Actor/Actress,California,United States,34,6,placement_col
22,Kim Fields,Sasha Farber,Actor/Actress,New York,United States,46,8,placement_col
22,Marla Maples,Tony Dovolani,TV Personality,Georgia,United States,52,10,placement_col
22,Mischa Barton,Artem Chigvintsev,Actor/Actress,NA,England,30,11,placement_col
22,Nyle DiMarco,Peta Murgatroyd,Model,New York,United States,26,1,placement_col
22,Paige VanZant,Mark Ballas,Athlete,Oregon,United States,22,2,placement_col
22,Von Miller,Witney Carson,Athlete,Texas,United States,27,7,placement_col
22,Wanya Morris,Lindsay Arnold,Singer/Rapper,Pennsylvania,United States,42,4,placement_col
23,Amber Rose,Maksim Chmerkoskiy,Model,Pennsylvania,United States,32,9,placement_col
23,Babyface,Allison Holker,Singer/Rapper,Indiana,United States,57,11,placement_col
23,Calvin Johnson Jr.,Lindsay Arnold,Athlete,Georgia,United States,30,3,placement_col
23,Jake T. Austin,Jenna Johnson,Actor/Actress,New York,United States,21,13,placement_col
23,James Hinchcliffe,Sharna Burgess,Racing Driver,NA,Canada,29,2,placement_col
23,Jana Kramer,Gleb Savchenko,Singer/Rapper,Michigan,United States,32,4,placement_col
23,Laurie Hernandez,Valentin Chmerkovskiy,Athlete,New Jersey,United States,16,1,placement_col
23,Marilu Henner,Derek Hough,Actor/Actress,Illinois,United States,64,6,placement_col
23,Maureen McCormick,Artem Chigvintsev,Actor/Actress,California,United States,60,8,placement_col
23,Rick Perry,Emma Slater,Politician,Texas,United States,66,12,placement_col
23,Ryan Lochte,Cheryl Burke,Athlete,New York,United States,32,7,placement_col
23,Terra Jole,Sasha Farber,TV Personality,Texas,United States,36,5,placement_col
23,Vanilla Ice,Witney Carson,Singer/Rapper,Texas,United States,48,10,placement_col
24,Bonner Bolton,Sharna Burgess,Athlete,Texas,United States,29,5,placement_col
24,Charo,Keo Motsepe,Actor/Actress,NA,Spain,66,11,placement_col
24,Chris Kattan,Witney Carson,Comedian,California,United States,46,12,placement_col
24,David Ross,Lindsay Arnold,Athlete,Georgia,United States,40,2,placement_col
24,Erika Jayne,Gleb Savchenko,Singer/Rapper,Georgia,United States,45,9,placement_col
24,Heather Morris,Maksim Chmerkoskiy,Actor/Actress,California,United States,30,8,placement_col
24,Mr. T,Kym Herjavec,Actor/Actress,Illinois,United States,64,10,placement_col
24,Nancy Kerrigan,Artem Chigvintsev,Athlete,Massachusetts,United States,47,7,placement_col
24,Nick Viall,Peta Murgatroyd,TV Personality,Wisconsin,United States,36,6,placement_col
24,Normani,Valentin Chmerkovskiy,Singer/Rapper,Georgia,United States,20,3,placement_col
24,Rashad Jennings,Emma Slater,Athlete,Virginia,United States,32,1,placement_col
24,Simone Biles,Sasha Farber,Athlete,Ohio,United States,20,4,placement_col
25,Barbara Corcoran,Keo Motsepe,Entrepreneur,New Jersey,United States,68,13,placement_col
25,Debbie Gibson,Alan Bersten,Singer/Rapper,New York,United States,47,12,placement_col
25,Derek Fisher,Sharna Burgess,Athlete,Arkansas,United States,43,11,placement_col
25,Drew Scott,Emma Slater,TV Personality,NA,Canada,39,4,placement_col
25,Frankie Muniz,Witney Carson,Actor/Actress,New Jersey,United States,31,3,placement_col
25,Jordan Fisher,Lindsay Arnold,Actor/Actress,Alabama,United States,23,1,placement_col
25,Lindsey Stirling,Mark Ballas,Musician,California,United States,31,2,placement_col
25,Nick Lachey,Peta Murgatroyd,Singer/Rapper,Kentucky,United States,43,9,placement_col
25,Nikki Bella,Artem Chigvintsev,Athlete,California,United States,33,8,placement_col
25,Sasha Pieterse,Gleb Savchenko,Actor/Actress,NA,South Africa,21,10,placement_col
25,Terrell Owens,Cheryl Burke,Athlete,Alabama,United States,43,6,placement_col
25,Vanessa Lachey,Maksim Chmerkoskiy,TV Personality,NA,Philippines,36,7,placement_col
25,Victoria Arlen,Valentin Chmerkovskiy,Athlete,New Hamshire,United States,22,5,placement_col
26,Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28,1,placement_col
26,Arike Ogunbowale,Gleb Savchenko,Athlete,Wisconsin,United States,21,7,placement_col
26,Chris Mazdzer,Witney Carson,Athlete,Massachusetts,United States,29,5,placement_col
26,Jamie Anderson,Artem Chigvintsev,Athlete,California,United States,27,10,placement_col
26,Jennie Finch Daigle,Keo Motsepe,Athlete,California,United States,37,6,placement_col
26,Johnny Damon,Emma Slater,Athlete,Kansas,United States,44,9,placement_col
26,Josh Norman,Sharna Burgess,Athlete,South Carolina,United States,30,2,placement_col
26,Kareem Abdul-Jabbar,Lindsay Arnold,Athlete,New York,United States,71,8,placement_col
26,Mirai Nagasu,Alan Bersten,Athlete,California,United States,25,4,placement_col
26,Tonya Harding,Sasha Farber,Athlete,Oregon,United States,47,3,placement_col
27,Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21,4,placement_col
27,Bobby Bones,Sharna Burgess,Radio Personality,Arkansas,United States,38,1,placement_col
27,Danelle Umstead,Artem Chigvintsev,Athlete,New Mexico,United States,46,12,placement_col
27,DeMarcus Ware,Lindsay Arnold,Athlete,Alabama,United States,36,7,placement_col
27,Evanna Lynch,Keo Motsepe,Actor/Actress,NA,Ireland,27,3,placement_col
27,Joe Amabile,Jenna Johnson,TV Personality,Illinois,United States,32,6,placement_col
27,John Schneider,Emma Slater,Actor/Actress,New York,United States,58,8,placement_col
27,Juan Pablo Di Pace,Cheryl Burke,Actor/Actress,NA,Argentina,39,5,placement_col
27,Mary Lou Retton,Sasha Farber,Athlete,West Virginia,United States,50,9,placement_col
27,Milo Manheim,Witney Carson,Actor/Actress,California,United States,17,2,placement_col
27,Nancy McKeon,Valentin Chmerkovskiy,Actor/Actress,New York,United States,52,11,placement_col
