celebrity_name,season,results,placement,placement_final,placement_source,notes
Belinda Carlisle,8,Eliminated Week 2,13,13,placement_col,
Donny Osmond,9,1st Place,1,1,placement_col,
Mya,9,2nd Place,2,2,placement_col,
Kelly Osbourne,9,3rd Place,3,3,placement_col,
Joanna Krupa,9,Eliminated Week 9,4,4,placement_col,
Aaron Carter,9,Eliminated Week 8,5,5,placement_col,
Mark Dacascos,9,Eliminated Week 7,6,6,placement_col,
Michael Irvin,9,Eliminated Week 7,7,7,placement_col,
Louie Vito,9,Eliminated Week 6,8,8,placement_col,
Melissa Joan Hart,9,Eliminated Week 6,9,9,placement_col,
Natalie Coughlin,9,Eliminated Week 5,10,10,placement_col,
Chuck Liddell,9,Eliminated Week 4,11,11,placement_col,
Debi Mazar,9,Eliminated Week 3,12,12,placement_col,
Tom DeLay,9,Withdrew,13,13,placement_col,
Kathy Ireland,9,Eliminated Week 2,14,14,placement_col,
Macy Gray,9,Eliminated Week 1,15,15,placement_col,
Ashley Hamiliton,9,Eliminated Week 1,16,16,placement_col,
Nicole Scherzinger,10,1st Place,1,1,placement_col,
Evan Lysacek,10,2nd Place,2,2,placement_col,
Erin Andrews,10,3rd Place,3,3,placement_col,
Chad Ochocinco,10,Eliminated Week 9,4,4,placement_col,
Niecy Nash,10,Eliminated Week 8,5,5,placement_col,
Pamela Anderson,10,Eliminated Week 7,6,6,placement_col,
Jake Pavelka,10,Eliminated Week 6,7,7,placement_col,
Kate Gosselin,10,Eliminated Week 5,8,8,placement_col,
Aiden Turner,10,Eliminated Week 4,9,9,placement_col,
Buzz Aldrin,10,Eliminated Week 3,10,10,placement_col,
Shannen Doherty,10,Eliminated Week 2,11,11,placement_col,
Jennifer Grey,11,1st Place,1,1,placement_col,
Kyle Massey,11,2nd Place,2,2,placement_col,
Bristol Palin,11,3rd Place,3,3,placement_col,
Brandy,11,Eliminated Week 9,4,4,placement_col,
Kurt Warner,11,Eliminated Week 8,5,5,placement_col,
Rick Fox,11,Eliminated Week 7,6,6,placement_col,
Audrina Patridge,11,Eliminated Week 6,7,7,placement_col,
Florence Henderson,11,Eliminated Week 5,8,8,placement_col,
The Situation,11,Eliminated Week 4,9,9,placement_col,
Margaret Cho,11,Eliminated Week 3,10,10,placement_col,
Michael Bolton,11,Eliminated Week 2,11,11,placement_col,
David Hasselhoff,11,Eliminated Week 1,12,12,placement_col,
Hines Ward,12,1st Place,1,1,placement_col,
Kirstie Alley,12,2nd Place,2,2,placement_col,
Chelsea Kane,12,3rd Place,3,3,placement_col,
Ralph Macchio,12,Eliminated Week 9,4,4,placement_col,
Romeo,12,Eliminated Week 8,5,5,placement_col,
Kendra Wilkinson,12,Eliminated Week 7,6,6,placement_col,
Chris Jericho,12,Eliminated Week 6,7,7,placement_col,
Petra Nemcova,12,Eliminated Week 5,8,8,placement_col,
Sugar Ray Leonard,12,Eliminated Week 4,9,9,placement_col,
Wendy Williams,12,Eliminated Week 3,10,10,placement_col,
Mike Catherwood,12,Eliminated Week 2,11,11,placement_col,
J.R. Martinez,13,1st Place,1,1,placement_col,
Rob Kardashian,13,2nd Place,2,2,placement_col,
Ricki Lake,13,3rd Place,3,3,placement_col,
Hope Solo,13,Eliminated Week 9,4,4,placement_col,
Nancy Grace,13,Eliminated Week 8,5,5,placement_col,
David Arquette,13,Eliminated Week 7,6,6,placement_col,
Chaz Bono,13,Eliminated Week 6,7,7,placement_col,
Carson Kressley,13,Eliminated Week 5,8,8,placement_col,
Chynna Phillips,13,Eliminated Week 4,9,9,placement_col,
Kristin Cavallari,13,Eliminated Week 3,10,10,placement_col,
Elisabetta Canalis,13,Eliminated Week 2,11,11,placement_col,
Metta World Peace (Ron),13,Eliminated Week 1,12,12,placement_col,
Donald Driver,14,1st Place,1,1,placement_col,
Katherine Jenkins,14,2nd Place,2,2,placement_col,
William Levy,14,3rd Place,3,3,placement_col,
Maria Menounos,14,Eliminated Week 9,4,4,placement_col,
Melissa Gilbert,14,Eliminated Week 8,5,5,placement_col,
Roshon Fegan,14,Eliminated Week 8,6,6,placement_col,
Jaleel White,14,Eliminated Week 7,7,7,placement_col,
Gladys Knight,14,Eliminated Week 6,8,8,placement_col,
Gavin DeGraw,14,Eliminated Week 5,9,9,placement_col,
Sherri Sheperd,14,Eliminated Week 4,10,10,placement_col,
Jack Wagner,14,Eliminated Week 3,11,11,placement_col,
Martina Navratilova,14,Eliminated Week 2,12,12,placement_col,
Melissa Rycroft,15,1st Place,1,1,placement_col,
Shawn Johnson,15,2nd Place,2,2,placement_col,
Kelly Monaco,15,3rd Place,3,3,placement_col,
Emmitt Smith,15,Eliminated Week 9,4,4,placement_col,
Apolo Anton Ohno,15,Eliminated Week 9,5,5,placement_col,
Gilles Marini,15,Eliminated Week 8,6,6,placement_col,
Kirstie Alley,15,Eliminated Week 8,7,7,placement_col,
Sabrina Bryan,15,Eliminated Week 6,8,8,placement_col,
Bristol Palin,15,Eliminated Week 4,9,9,placement_col,
Helio Castroneves,15,Eliminated Week 3,10,10,placement_col,
Drew Lachey,15,Eliminated Week 3,11,11,placement_col,
Joey Fatone,15,Eliminated Week 2,12,12,placement_col,
Pamela Anderson,15,Eliminated Week 1,13,13,placement_col,
Kellie Pickler,16,1st Place,1,1,placement_col,
Zendaya,16,2nd Place,2,2,placement_col,
Jacoby Jones,16,3rd Place,3,3,placement_col,
Alexandra Raisman,16,Eliminated Week 10,4,4,placement_col,
Ingo Rademacher,16,Eliminated Week 9,5,5,placement_col,
Sean Lowe,16,Eliminated Week 8,6,6,placement_col,
Andy Dick,16,Eliminated Week 7,7,7,placement_col,
Victor Ortiz,16,Eliminated Week 6,8,8,placement_col,
D. L. Hughley,16,Eliminated Week 5,9,9,placement_col,
Lisa Vanderpump,16,Eliminated Week 4,10,10,placement_col,
Wynonna Judd,16,Eliminated Week 3,11,11,placement_col,
Dorothy Hamill,16,Withdrew,12,12,placement_col,
Amber Riley,17,1st Place,1,1,placement_col,
Corbin Bleu,17,2nd Place,2,2,placement_col,
Jack Osbourne,17,3rd Place,3,3,placement_col,
Bill Engvall,17,Eliminated Week 11,4,4,placement_col,
Leah Remini,17,Eliminated Week 10,5,5,placement_col,
Elizabeth Berkley Lauren,17,Eliminated Week 9,6,6,placement_col,
Brant Daugherty,17,Eliminated Week 8,7,7,placement_col,
"Nicole ""Snooki"" Polizzi",17,Eliminated Week 7,8,8,placement_col,
Christina Milian,17,Eliminated Week 5,9,9,placement_col,
Valerie Harper,17,Eliminated Week 4,10,10,placement_col,
Bill Nye,17,Eliminated Week 3,11,11,placement_col,
Keyshawn Johnson,17,Eliminated Week 2,12,12,placement_col,
Meryl Davis,18,1st Place,1,1,placement_col,
Amy Purdy,18,2nd Place,2,2,placement_col,
Candace Cameron Bure,18,3rd Place,3,3,placement_col,
James Maslow,18,Eliminated Week 10,4,4,placement_col,
Charlie White,18,Eliminated Week 9,5,5,placement_col,
Danica McKellar,18,Eliminated Week 8,6,6,placement_col,
NeNe Leakes,18,Eliminated Week 7,7,7,placement_col,
Drew Carey,18,Eliminated Week 6,8,8,placement_col,
Cody Simpson,18,Eliminated Week 5,9,9,placement_col,
Billy Dee Williams,18,Withdrew,10,10,placement_col,
Sean Avery,18,Eliminated Week 2,11,11,placement_col,
Diana Nyad,18,Eliminated Week 2,12,12,placement_col,
Alfonso Ribeiro,19,1st Place,1,1,placement_col,
Sadie Robertson,19,2nd Place,2,2,placement_col,
Janel Parrish,19,3rd Place,3,3,placement_col,
Bethany Mota,19,Eliminated Week 11,4,4,placement_col,
Tommy Chong,19,Eliminated Week 10,5,5,placement_col,
Lea Thompson,19,Eliminated Week 9,6,6,placement_col,
Michael Waltrip,19,Eliminated Week 8,7,7,placement_col,
Antonio Sabato Jr.,19,Eliminated Week 7,8,8,placement_col,
Jonathan Bennett,19,Eliminated Week 6,9,9,placement_col,
Betsey Johnson,19,Eliminated Week 4,10,10,placement_col,
Randy Couture,19,Eliminated Week 3,11,11,placement_col,
Tavis Smiley,19,Eliminated Week 2,12,12,placement_col,
Lolo Jones,19,Eliminated Week 1,13,13,placement_col,
Rumer Willis,20,1st Place,1,1,placement_col,
Riker Lynch,20,2nd Place,2,2,placement_col,
Noah Galloway,20,3rd Place,3,3,placement_col,
Nastia Liukin,20,Eliminated Week 9,4,4,placement_col,
Chris Soules,20,Eliminated Week 8,5,5,placement_col,
Robert Herjavec,20,Eliminated Week 8,6,6,placement_col,
Willow Shields,20,Eliminated Week 7,7,7,placement_col,
Patti LaBelle,20,Eliminated Week 6,8,8,placement_col,
Suzanne Somers,20,Eliminated Week 5,9,9,placement_col,
Michael Sam,20,Eliminated Week 4,10,10,placement_col,
Charlotte McKinney,20,Eliminated Week 3,11,11,placement_col,
Redfoo,20,Eliminated Week 2,12,12,placement_col,
Bindi Irwin,21,1st Place,1,1,placement_col,
Nick Carter,21,2nd Place,2,2,placement_col,
Alek Skarlatos,21,3rd Place,3,3,placement_col,
Carlos PenaVega,21,Eliminated Week 11,4,4,placement_col,
Tamar Braxton,21,Withdrew,5,5,placement_col,
Alexa PenaVega,21,Eliminated Week 9,6,6,placement_col,
Andy Grammer,21,Eliminated Week 8,7,7,placement_col,
Hayes Grier,21,Eliminated Week 7,8,8,placement_col,
Paula Deen,21,Eliminated Week 6,9,9,placement_col,
Gary Busey,21,Eliminated Week 4,10,10,placement_col,
Kim Zolciak-Biermann,21,Withdrew,11,11,placement_col,
Victor Espinoza,21,Eliminated Week 2,12,12,placement_col,
Chaka Khan,21,Eliminated Week 2,13,13,placement_col,
Nyle DiMarco,22,1st Place,1,1,placement_col,
Paige VanZant,22,2nd Place,2,2,placement_col,
Ginger Zee,22,3rd Place,3,3,placement_col,
Wanya Morris,22,Eliminated Week 9,4,4,placement_col,
Antonio Brown,22,Eliminated Week 9,5,5,placement_col,
Jodie Sweetin,22,Eliminated Week 8,6,6,placement_col,
Von Miller,22,Eliminated Week 7,7,7,placement_col,
Kim Fields,22,Eliminated Week 7,8,8,placement_col,
Doug Flutie,22,Eliminated Week 6,9,9,placement_col,
Marla Maples,22,Eliminated Week 4,10,10,placement_col,
Mischa Barton,22,Eliminated Week 3,11,11,placement_col,
Geraldo Rivera,22,Eliminated Week 2,12,12,placement_col,
Laurie Hernandez,23,1st Place,1,1,placement_col,
James Hinchcliffe,23,2nd Place,2,2,placement_col,
Calvin Johnson Jr.,23,3rd Place,3,3,placement_col,
Jana Kramer,23,Eliminated Week 11,4,4,placement_col,
Terra Jole,23,Eliminated Week 10,5,5,placement_col,
Marilu Henner,23,Eliminated Week 9,6,6,placement_col,
Ryan Lochte,23,Eliminated Week 8,7,7,placement_col,
Maureen McCormick,23,Eliminated Week 7,8,8,placement_col,
Amber Rose,23,Eliminated Week 6,9,9,placement_col,
Vanilla Ice,23,Eliminated Week 4,10,10,placement_col,
Babyface,23,Eliminated Week 4,11,11,placement_col,
Rick Perry,23,Eliminated Week 3,12,12,placement_col,
Jake T. Austin,23,Eliminated Week 2,13,13,placement_col,
Rashad Jennings,24,1st Place,1,1,placement_col,
David Ross,24,2nd Place,2,2,placement_col,
Normani,24,3rd Place,3,3,placement_col,
Simone Biles,24,Eliminated Week 9,4,4,placement_col,
Bonner Bolton,24,Eliminated Week 8,5,5,placement_col,
Nick Viall,24,Eliminated Week 7,6,6,placement_col,
Nancy Kerrigan,24,Eliminated Week 7,7,7,placement_col,
Heather Morris,24,Eliminated Week 6,8,8,placement_col,
Erika Jayne,24,Eliminated Week 5,9,9,placement_col,
Mr. T,24,Eliminated Week 4,10,10,placement_col,
Charo,24,Eliminated Week 3,11,11,placement_col,
Chris Kattan,24,Eliminated Week 2,12,12,placement_col,
Jordan Fisher,25,1st Place,1,1,placement_col,
Lindsey Stirling,25,2nd Place,2,2,placement_col,
Frankie Muniz,25,3rd Place,3,3,placement_col,
Drew Scott,25,Eliminated Week 10,4,4,placement_col,
Victoria Arlen,25,Eliminated Week 9,5,5,placement_col,
Terrell Owens,25,Eliminated Week 8,6,6,placement_col,
Vanessa Lachey,25,Eliminated Week 7,7,7,placement_col,
Nikki Bella,25,Eliminated Week 7,8,8,placement_col,
Nick Lachey,25,Eliminated Week 6,9,9,placement_col,
Sasha Pieterse,25,Eliminated Week 5,10,10,placement_col,
Derek Fisher,25,Eliminated Week 4,11,11,placement_col,
Debbie Gibson,25,Eliminated Week 2,12,12,placement_col,
Barbara Corcoran,25,Eliminated Week 2,13,13,placement_col,
Adam Rippon,26,1st Place,1,1,placement_col,
Josh Norman,26,2nd Place,2,2,placement_col,
Tonya Harding,26,3rd Place,3,3,placement_col,
Mirai Nagasu,26,Eliminated Week 3,4,4,placement_col,
Chris Mazdzer,26,Eliminated Week 3,5,5,placement_col,
Jennie Finch Daigle,26,Eliminated Week 3,6,6,placement_col,
Arike Ogunbowale,26,Eliminated Week 2,7,7,placement_col,
Kareem Abdul-Jabbar,26,Eliminated Week 2,8,8,placement_col,
Johnny Damon,26,Eliminated Week 1,9,9,placement_col,
Jamie Anderson,26,Eliminated Week 1,10,10,placement_col,
Bobby Bones,27,1st Place,1,1,placement_col,
Milo Manheim,27,2nd Place,2,2,placement_col,
Evanna Lynch,27,3rd Place,3,3,placement_col,
Alexis Ren,27,4th Place,4,4,placement_col,
Juan Pablo Di Pace,27,Eliminated Week 8,5,5,placement_col,
Joe Amabile,27,Eliminated Week 8,6,6,placement_col,
DeMarcus Ware,27,Eliminated Week 7,7,7,placement_col,
John Schneider,27,Eliminated Week 7,8,8,placement_col,
Mary Lou Retton,27,Eliminated Week 6,9,9,placement_col,
Tinashe,27,Eliminated Week 4,10,10,placement_col,
Nancy McKeon,27,Eliminated Week 3,11,11,placement_col,
Danelle Umstead,27,Eliminated Week 2,12,12,placement_col,
Nikki Glaser,27,Eliminated Week 1,13,13,placement_col,
Hannah Brown,28,1st Place,1,1,placement_col,
Kel Mitchell,28,2nd Place,2,2,placement_col,
Ally Brooke,28,3rd Place,3,3,placement_col,
Lauren Alaina,28,4th Place,4,4,placement_col,
James Van Der Beek,28,Eliminated Week 10,5,5,placement_col,
Sean Spicer,28,Eliminated Week 9,6,6,placement_col,
Kate Flannery,28,Eliminated Week 8,7,7,placement_col,
Karamo Brown,28,Eliminated Week 7,8,8,placement_col,
Sailor Brinkley-Cook,28,Eliminated Week 6,9,9,placement_col,
Lamar Odom,28,Eliminated Week 4,10,10,placement_col,
Ray Lewis,28,Withdrew,11,11,placement_col,
Mary Wilson,28,Eliminated Week 2,12,12,placement_col,
Kaitlyn Bristowe,29,1st Place,1,1,placement_col,
Nev Schulman,29,2nd Place,2,2,placement_col,
Nelly,29,3rd Place,3,3,placement_col,
Justina Machado,29,4th Place,4,4,placement_col,
Skai Jackson,29,Eliminated Week 10,5,5,placement_col,
Johnny Weir,29,Eliminated Week 10,6,6,placement_col,
AJ McLean,29,Eliminated Week 9,7,7,placement_col,
Chrishell Stause,29,Eliminated Week 8,8,8,placement_col,
Jeannie Mai,29,Withdrew,9,9,placement_col,
Monica Aldama,29,Eliminated Week 7,10,10,placement_col,
Veron Davis,29,Eliminated Week 6,11,11,placement_col,
Jesse Metcalfe,29,Eliminated Week 5,12,12,placement_col,
Anne Heche,29,Eliminated Week 4,13,13,placement_col,
Carole Baskin,29,Eliminated Week 3,14,14,placement_col,
Charles Oakley,29,Eliminated Week 2,15,15,placement_col,
Iman Shumpert,30,1st Place,1,1,placement_col,
JoJo Siwa,30,2nd Place,2,2,placement_col,
Cody Rigsby,30,3rd Place,3,3,placement_col,
Amanda Kloots,30,4th Place,4,4,placement_col,
Suni Lee,30,Eliminated Week 9,5,5,placement_col,
Melora Hardin,30,Eliminated Week 9,6,6,placement_col,
Jimmie Allen,30,Eliminated Week 8,7,7,placement_col,
Olivia Jade,30,Eliminated Week 8,8,8,placement_col,
"Mike ""The Miz"" Mizanin",30,Eliminated Week 7,9,9,placement_col,
Kenya Moore,30,Eliminated Week 6,10,10,placement_col,
Melanie C,30,Eliminated Week 5,11,11,placement_col,
Matt James,30,Eliminated Week 4,12,12,placement_col,
Brian Austin Green,30,Eliminated Week 4,13,13,placement_col,
Christine Chiu,30,Eliminated Week 3,14,14,placement_col,
Martin Kove,30,Eliminated Week 2,15,15,placement_col,
Charli D'Amelio,31,1st Place,1,1,placement_col,
Gabby Windey,31,2nd Place,2,2,placement_col,
Wayne Brady,31,3rd Place,3,3,placement_col,
Shangela,31,4th Place,4,4,placement_col,
Daniel Durant,31,Eliminated Week 9,5,5,placement_col,
Trevor Donovan,31,Eliminated Week 9,6,6,placement_col,
Vinny Guadagnino,31,Eliminated Week 8,7,7,placement_col,
Heidi D'Amelio,31,Eliminated Week 8,8,8,placement_col,
Jordin Sparks,31,Eliminated Week 7,9,9,placement_col,
Jessie James Decker,31,Eliminated Week 6,10,10,placement_col,
Joseph Baena,31,Eliminated Week 5,11,11,placement_col,
Selma Blair,31,Withdrew,12,12,placement_col,
Sam Champion,31,Eliminated Week 4,13,13,placement_col,
Cheryl Ladd,31,Eliminated Week 3,14,14,placement_col,
Teresa Giudice,31,Eliminated Week 2,15,15,placement_col,
Jason Lewis,31,Eliminated Week 1,16,16,placement_col,
Xochitl Gomez,32,1st Place,1,1,placement_col,
Jason Mraz,32,2nd Place,2,2,placement_col,
Ariana Madix,32,3rd Place,3,3,placement_col,
Charity Lawson,32,4th Place,4,4,placement_col,
Alyson Hannigan,32,5th Place,5,5,placement_col,
Harry Jowsey,32,Eliminated Week 9,6,6,placement_col,
Barry Williams,32,Eliminated Week 8,7,7,placement_col,
Lele Pons,32,Eliminated Week 7,8,8,placement_col,
Mauricio Umansky,32,Eliminated Week 6,9,9,placement_col,
Mira Sorvino,32,Eliminated Week 5,10,10,placement_col,
Adrian Peterson,32,Eliminated Week 4,11,11,placement_col,
Tyson Beckford,32,Eliminated Week 3,12,12,placement_col,
Jamie Lynn Spears,32,Eliminated Week 2,13,13,placement_col,
Matt Walsh,32,Eliminated Week 1,14,14,placement_col,
Joey Graziadei,33,1st Place,1,1,placement_col,
Ilona Maher,33,2nd Place,2,2,placement_col,
Chandler Kinney,33,3rd Place,3,3,placement_col,
Stephen Nedoroscik,33,4th Place,4,4,placement_col,
Danny Amendola,33,5th Place,5,5,placement_col,
Dwight Howard,33,Eliminated Week 7,6,6,placement_col,
Jenn Tran,33,Eliminated Week 6,7,7,placement_col,
Phaedra Parks,33,Eliminated Week 5,8,8,placement_col,
Brooks Nader,33,Eliminated Week 4,9,9,placement_col,
Eric Roberts,33,Eliminated Week 3,10,10,placement_col,
Reginald VelJohnson,33,Eliminated Week 3,10,10,placement_col,
Anna Delvey,33,Eliminated Week 2,12,12,placement_col,
Tori Spelling,33,Eliminated Week 2,12,12,placement_col,
Robert Irwin,34,1st Place,1,1,placement_col,
Alix Earle,34,2nd Place,2,2,placement_col,
Jordan Chiles,34,3rd Place,3,3,placement_col,
Dylan Efron,34,4th Place,4,4,placement_col,
Elaine Hendrix,34,5th Place,5,5,placement_col,
Whitney Leavitt,34,Eliminated Week 10,6,6,placement_col,
Andy Richter,34,Eliminated Week 9,7,7,placement_col,
Danielle Fishel,34,Eliminated Week 8,8,8,placement_col,
Jen Affleck,34,Eliminated Week 7,9,9,placement_col,
Scott Hoying,34,Eliminated Week 6,10,10,placement_col,
Hilaria Baldwin,34,Eliminated Week 4,11,11,placement_col,
Lauren Jauregui,34,Eliminated Week 3,12,12,placement_col,
Baron Davis,34,Eliminated Week 2,13,13,placement_col,
Corey Feldman,34,Eliminated Week 2,13,13,placement_col,
