celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,norm_name,success_score,week1_total,week2_total,week3_total,mean_judge_w1_3,fan_w1,fan_w2,fan_w3,mean_fan_w1_3,judge_slope,fan_slope,age,industry,partner,country,homestate,industry_b,partner_b
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8.0,6.0,8.0,,9.0,10.0,10.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,9.0,9.0,9.5,,9.3333,9.6666,9.6666,,,,,,,,,,,,,,stacy keibler,0.7777777777777778,22.0,29.0,27.0,26.0,0.0630205311627506,0.0660314884220641,0.0736214345178564,0.06755781803422371,2.4999999999999996,0.00530045167755289,26,Athlete,Tony Dovolani,United States,Maryland,Athlete,Tony Dovolani
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7.0,7.0,7.0,,7.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,8.0,7.0,8.0,,7.0,7.0,6.5,,9.0,9.0,8.6666,,,,,,,,,,,,,,jerry rice,0.8888888888888888,21.0,23.0,19.0,21.0,0.1312671842955121,0.1331269851806909,0.1425087689975166,0.1356343128245732,-0.9999999999999986,0.005620792351002242,43,Athlete,Anna Trebunskaya,United States,Mississippi,Athlete,Other
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,7.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,giselle fernandez,0.2222222222222222,23.0,24.0,22.0,23.0,0.0759822767887356,0.0774786563200481,0.0842144677759516,0.07922513362824511,-0.5000000000000009,0.004116095493607994,44,News Anchor,Jonathan Roberts,Mexico,Unknown,Other,Other
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4.0,4.0,4.0,,6.0,5.0,5.0,,6.0,4.0,4.0,,4.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,master p,0.33333333333333337,12.0,16.0,14.0,14.0,0.1223663269194782,0.1194683597488415,0.1246751306710966,0.12216993911313877,1.0000000000000002,0.001154401875809192,35,Singer/Rapper,Ashly DelGrosso,United States,Louisiana,Singer/Rapper,Other
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.5,9.0,9.0,,9.6666,9.6666,9.6666,,,,,,,,,,,,,,drew lachey,1.0,24.0,27.0,27.0,26.0,0.1383553753367598,0.1433987495894618,0.1598816247388329,0.14721191655501817,1.4999999999999996,0.010763124701036563,29,Singer/Rapper,Cheryl Burke,United States,Ohio,Singer/Rapper,Cheryl Burke
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4.0,5.0,4.0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,kenny mayne,0.0,13.0,,,13.0,0.0848190615641806,0.0759148677102963,0.0,0.05357797642482564,,-0.042409530782090296,46,Sports Broadcaster,Andrea Hale,United States,Washington,Other,Other
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5.0,6.0,6.0,,7.0,7.0,7.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,harry hamlin,0.19999999999999996,17.0,21.0,22.0,20.0,0.0764633444221615,0.0764533769444588,0.0836707530726011,0.07886249147974048,2.4999999999999956,0.0036037043252197965,54,Actor/Actress,Ashly DelGrosso,United States,California,Actor/Actress,Other
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,6.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,vivica a fox,0.30000000000000004,22.0,24.0,27.0,24.333333333333332,0.1035469156373451,0.1038066035910289,0.1140920981973837,0.10714853914191924,2.4999999999999996,0.005272591280019306,42,Actor/Actress,Nick Kosovich,United States,Indiana,Actor/Actress,Other
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,6.0,6.0,7.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,7.0,7.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,monique coleman,0.7,19.0,26.0,27.0,24.0,0.1055310328051105,0.1059817185319654,0.1164827305738135,0.10933182730362982,4.000000000000002,0.005475848884351503,25,Actor/Actress,Louis van Amstel,United States,South Carolina,Actor/Actress,Other
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,7.0,7.0,7.0,,10.0,9.0,10.0,,8.0,6.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,8.0,8.0,8.0,,9.5,9.0,10.0,,9.5,8.5,9.0,,9.5,10.0,10.0,,0.0,0.0,0.0,,,,,,joey lawrence,0.8,21.0,29.0,22.0,24.0,0.0905560403654308,0.0911827371406268,0.0997905990381532,0.09384312551473693,0.5000000000000009,0.004617279336361188,30,Actor/Actress,Edyta Sliwinska,United States,Pennsylvania,Actor/Actress,Other
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,9.0,8.0,9.0,,7.0,6.0,8.0,,8.0,6.0,8.0,,10.0,9.0,10.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.5,9.0,9.5,,9.5,9.0,10.0,,10.0,9.5,10.0,,10.0,10.0,9.6666,,,,,,mario lopez,0.9,26.0,21.0,22.0,23.0,0.0718356122786639,0.0718262480549427,0.0786068124826248,0.07408955760541047,-2.0000000000000018,0.0033856001019804405,32,Actor/Actress,Karina Smirnoff,United States,California,Actor/Actress,Karina Smirnoff
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,10.0,9.5,9.0,,8.5,9.0,9.5,,9.5,10.0,10.0,,10.0,9.6666,10.0,,,,,,emmitt smith,1.0,24.0,24.0,19.0,22.333333333333332,0.0942064666779324,0.0944427294811728,0.1030939991367527,0.09724773176528596,-2.4999999999999982,0.004443766229410143,37,Athlete,Cheryl Burke,United States,Florida,Athlete,Cheryl Burke
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,7.0,5.0,6.0,,8.0,7.0,7.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,shanna moakler,0.09999999999999998,18.0,22.0,,20.0,0.0977892947011615,0.0978624702959329,0.1051084000561863,0.10025338835109358,3.9999999999999982,0.0036595526775123786,31,Model,Jesse DeSoto,United States,Rhode Island,Model,Other
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,7.0,7.0,8.0,,7.0,8.0,8.0,,7.0,7.0,8.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,willa ford,0.4,22.0,23.0,22.0,22.333333333333332,0.1033256417381629,0.103493827537865,0.1132638849262326,0.10669445140075351,-1.588821858078255e-15,0.004969121594034857,25,Singer/Rapper,Maksim Chmerkoskiy,United States,Florida,Singer/Rapper,Maksim Chmerkoskiy
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,9.0,8.0,,6.0,7.0,7.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,sara evans,0.5,15.0,21.0,25.0,20.333333333333332,0.0697126159900282,0.0697035285122214,0.0764793021554589,0.07196514888590283,4.999999999999997,0.0033833430827153407,35,Singer/Rapper,Tony Dovolani,United States,Missouri,Singer/Rapper,Tony Dovolani
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,5.0,5.0,6.0,,7.0,6.0,6.0,,7.0,7.0,7.0,,7.0,7.0,8.0,,8.0,8.0,8.0,,7.0,6.0,5.0,,7.5,8.0,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,jerry springer,0.6,16.0,19.0,21.0,18.666666666666668,0.1002480510617237,0.1000590481562332,0.1094114203607927,0.10323950652624987,2.4999999999999973,0.0045816846495344956,62,TV Personality,Kym Johnson,England,Unknown,TV Personality,Kym Johnson
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,5.0,4.0,3.0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,tucker carlson,0.0,12.0,,,12.0,0.0867849843222793,0.0851877117535517,0.0,0.057324232025277,,-0.04339249216113962,37,TV Personality,Elena Grinenko,United States,California,TV Personality,Other
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,6.0,5.0,6.0,,7.0,7.0,7.0,,7.0,6.0,7.0,,6.0,5.0,5.0,,6.0,6.0,6.0,,7.0,6.0,6.0,,7.5,7.5,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,john ratzenberger,0.5,17.0,21.0,20.0,19.333333333333332,0.0609162089796262,0.0566687305484034,0.0560021609291495,0.0578623668190597,1.5000000000000004,-0.002457024025238356,59,Actor/Actress,Edyta Sliwinska,United States,Connecticut,Actor/Actress,Other
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,7.0,7.0,7.0,,7.0,8.0,7.0,,8.0,8.0,8.0,,7.0,9.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,7.5,8.0,,9.5,10.0,9.5,,0.0,0.0,0.0,,,,,,ian ziering,0.7,21.0,22.0,24.0,22.333333333333332,0.1144393034832502,0.1112394500909092,0.1175852874524677,0.1144213470088757,1.499999999999998,0.0015729919846087345,42,Actor/Actress,Cheryl Burke,United States,New Jersey,Actor/Actress,Cheryl Burke
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,6.0,5.0,5.0,,6.0,6.0,6.0,,6.0,5.0,5.0,,6.0,4.0,5.0,,4.0,5.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,clyde drexler,0.30000000000000004,16.0,18.0,16.0,16.666666666666668,0.0871764946560716,0.0710871305832328,0.065677926744413,0.07464718399457246,-7.944109290391275e-16,-0.010749283955829301,44,Athlete,Elena Grinenko,United States,Louisiana,Athlete,Other
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,7.0,8.0,8.0,,9.0,9.0,9.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,9.0,10.0,9.0,,9.0,9.0,10.0,,10.0,9.5,10.0,,9.0,8.5,9.0,,10.0,10.0,10.0,,9.6666,9.0,9.6666,,,,,,laila ali,0.8,23.0,27.0,21.0,23.666666666666668,0.0926986639687489,0.1122334101061295,0.1127954737513635,0.10590918260874731,-1.0000000000000002,0.0100484048913073,29,Athlete,Maksim Chmerkoskiy,United States,Florida,Athlete,Maksim Chmerkoskiy
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,7.0,7.0,7.0,,8.0,9.0,9.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,10.0,10.0,10.0,,9.0,9.0,10.0,,9.0,8.5,9.5,,10.0,9.0,10.0,,10.0,9.5,10.0,,9.6666,9.6666,10.0,,,,,,apolo anton ohno,1.0,21.0,26.0,23.0,23.333333333333332,0.1249911276893866,0.1448287755387834,0.150536147758878,0.14011868366234934,1.0000000000000018,0.012772510034745705,24,Athlete,Julianne Hough,United States,Washington,Athlete,Other
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,6.0,6.0,7.0,,6.0,7.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,shandi finnessey,0.09999999999999998,19.0,20.0,21.0,20.0,0.08546090089655,0.0760860558076941,0.0764670939124645,0.0793380168722362,0.9999999999999978,-0.00449690349204276,28,Beauty Pagent,Brian Fortuna,United States,Missouri,Other,Other
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,6.0,6.0,7.0,,7.0,7.0,7.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,paulina porizkova,0.0,19.0,21.0,,20.0,0.0838702702078289,0.0780222837737465,0.0550700798484686,0.072320877943348,1.9999999999999982,-0.014400095179680142,41,Model,Alec Mazo,Czechoslovakia,Unknown,Model,Other
Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,6.0,6.0,6.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,7.0,7.0,7.0,,7.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,heather mills,0.4,18.0,24.0,24.0,22.0,0.0874436667027724,0.0928021440901939,0.0980961950111488,0.0927806686013717,3.0,0.005326264154188204,39,Model,Jonathan Roberts,England,Unknown,Model,Other
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,5.0,4.0,4.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,6.0,6.0,5.0,,7.0,7.0,7.0,,6.0,6.5,6.5,,6.5,6.5,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,billy ray cyrus,0.6,13.0,21.0,21.0,18.333333333333332,0.0810821031018837,0.0754285260022546,0.0758062712052149,0.0774389667697844,3.999999999999999,-0.0026379159483344086,45,Singer/Rapper,Karina Smirnoff,United States,Kentucky,Singer/Rapper,Karina Smirnoff
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,10.0,9.0,9.0,,8.0,8.0,9.0,,9.0,9.0,9.0,,10.0,9.5,10.0,,9.5,9.0,9.0,,10.0,10.0,10.0,,9.6666,9.3333,9.6666,,,,,,joey fatone,0.9,24.0,24.0,24.0,24.0,0.0944002650306492,0.1001850371543151,0.1059002573511376,0.10016185317870063,1.588821858078255e-15,0.005749996160244188,30,Singer/Rapper,Kym Johnson,United States,New York,Singer/Rapper,Kym Johnson
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,6.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,leeza gibbons,0.19999999999999996,15.0,21.0,24.0,20.0,0.0875209952832319,0.081418456304337,0.0860631060352934,0.08500085254095409,4.499999999999999,-0.0007289446239692542,50,TV Personality,Tony Dovolani,United States,South Carolina,TV Personality,Tony Dovolani
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,7.0,7.0,7.0,,7.0,7.0,7.0,,8.0,7.0,8.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,9.0,8.0,8.0,,8.5,8.5,8.5,,8.5,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,cameron mathison,0.6363636363636364,21.0,21.0,23.0,21.666666666666668,0.0861828238222101,0.086232100813642,0.0920842269012964,0.08816638384571616,1.0000000000000002,0.002950701539543156,38,Actor/Actress,Edyta Sliwinska,Canada,Unknown,Actor/Actress,Other
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,8.0,8.0,8.0,,7.0,7.0,7.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,8.0,9.0,9.0,,8.0,7.0,7.0,,8.0,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,jane seymour,0.5454545454545454,24.0,21.0,27.0,24.0,0.0978355097897555,0.0978914494696573,0.1048845938320634,0.10020385103049206,1.500000000000001,0.003524542021153938,56,Actor/Actress,Tony Dovolani,England,Unknown,Actor/Actress,Tony Dovolani
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,9.0,8.0,9.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.0,9.0,10.0,,9.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,sabrina bryan,0.4545454545454546,26.0,26.0,27.0,26.333333333333332,0.078437988117963,0.0788480593288042,0.0844807868506579,0.08058894476580837,0.4999999999999993,0.0030213993663474542,23,Actor/Actress,Mark Ballas,United States,California,Actor/Actress,Mark Ballas
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,7.0,7.0,7.0,,7.0,7.0,7.0,,9.0,8.0,9.0,,8.0,10.0,9.0,,8.0,9.0,8.0,,9.0,9.0,9.0,,8.5,8.5,9.5,,8.5,8.5,8.0,,9.5,10.0,9.5,,0.0,0.0,0.0,,,,,,jennie garth,0.7272727272727273,21.0,21.0,26.0,22.666666666666668,0.0930990995600593,0.0931523310895902,0.09972361273066,0.09532501446010316,2.5000000000000004,0.0033122565853003477,35,Actor/Actress,Derek Hough,United States,Illinois,Actor/Actress,Derek Hough
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,6.0,6.0,6.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,floyd mayweather jr,0.2727272727272727,18.0,21.0,21.0,20.0,0.0819153797183336,0.0819622167014528,0.0873785119107852,0.08375203611019054,1.500000000000002,0.002731566096225793,30,Athlete,Karina Smirnoff,United States,Michigan,Athlete,Karina Smirnoff
