season,celebrity_name,placement_true,elim_week_true
22,Wanya Morris,4,10
22,Marla Maples,10,5
21,Gary Busey,10,5
21,Alexa PenaVega,6,10
21,Carlos PenaVega,4,12
21,Victor Espinoza,12,3
21,Alek Skarlatos,3,12
21,Chaka Khan,13,3
21,Andy Grammer,7,9
21,Tamar Braxton,5,10
21,Nick Carter,2,12
21,Hayes Grier,8,8
21,Bindi Irwin,1,12
21,Kim Zolciak-Biermann,11,3
21,Paula Deen,9,7
20,Suzanne Somers,9,6
20,Willow Shields,7,8
20,Riker Lynch,2,11
20,Rumer Willis,1,11
20,Nastia Liukin,4,10
20,Michael Sam,10,5
20,Robert Herjavec,6,9
20,Charlotte McKinney,11,4
20,Noah Galloway,3,11
20,Redfoo,12,3
20,Patti LaBelle,8,7
20,Chris Soules,5,9
19,Antonio Sabato Jr.,8,8
19,Jonathan Bennett,9,7
19,Lea Thompson,6,10
19,Janel Parrish,3,12
19,Alfonso Ribeiro,1,12
19,Lolo Jones,13,2
19,Randy Couture,11,4
19,Tommy Chong,5,11
19,Betsey Johnson,10,5
19,Michael Waltrip,7,9
19,Tavis Smiley,12,3
19,Bethany Mota,4,12
19,Sadie Robertson,2,12
18,Billy Dee Williams,10,3
18,Danica McKellar,6,9
18,James Maslow,4,11
18,Candace Cameron Bure,3,11
18,Sean Avery,11,3
18,Diana Nyad,12,2
18,Charlie White,5,10
18,Amy Purdy,2,11
18,Meryl Davis,1,11
18,Drew Carey,8,7
18,Cody Simpson,9,6
18,NeNe Leakes,7,8
17,Valerie Harper,10,5
17,Brant Daugherty,7,9
17,Elizabeth Berkley Lauren,6,10
17,Leah Remini,5,11
17,Corbin Bleu,2,12
17,Amber Riley,1,12
17,Keyshawn Johnson,12,3
17,Bill Engvall,4,12
17,Christina Milian,9,6
17,"Nicole ""Snooki"" Polizzi",8,8
17,Jack Osbourne,3,12
17,Bill Nye,11,4
16,Ingo Rademacher,5,10
16,Zendaya,2,11
16,Dorothy Hamill,12,3
16,Victor Ortiz,8,7
16,Alexandra Raisman,4,11
16,Jacoby Jones,3,11
16,D. L. Hughley,9,6
16,Andy Dick,7,8
16,Wynonna Judd,11,4
16,Kellie Pickler,1,11
16,Lisa Vanderpump,10,5
16,Sean Lowe,6,9
15,Gilles Marini,6,9
15,Sabrina Bryan,8,7
15,Kirstie Alley,7,9
15,Kelly Monaco,3,11
15,Apolo Anton Ohno,5,10
15,Emmitt Smith,4,10
15,Shawn Johnson,2,11
15,Pamela Anderson,13,2
15,Helio Castroneves,10,4
15,Joey Fatone,12,3
15,Drew Lachey,11,4
15,Bristol Palin,9,5
15,Melissa Rycroft,1,11
14,William Levy,3,11
14,Jack Wagner,11,4
14,Sherri Sheperd,10,5
14,Jaleel White,7,8
14,Roshon Fegan,6,9
14,Melissa Gilbert,5,9
14,Martina Navratilova,12,3
14,Donald Driver,1,11
14,Gavin DeGraw,9,6
14,Gladys Knight,8,7
14,Katherine Jenkins,2,11
14,Maria Menounos,4,10
13,Elisabetta Canalis,11,3
13,David Arquette,6,8
13,Ricki Lake,3,11
13,J.R. Martinez,1,11
13,Metta World Peace (Ron),12,2
13,Hope Solo,4,10
13,Chynna Phillips,9,5
13,Kristin Cavallari,10,4
13,Carson Kressley,8,6
13,Chaz Bono,7,7
13,Nancy Grace,5,9
13,Rob Kardashian,2,11
12,Ralph Macchio,4,10
12,Chelsea Kane,3,11
12,Kirstie Alley,2,11
12,Hines Ward,1,11
12,Sugar Ray Leonard,9,5
12,Chris Jericho,7,7
12,Petra Nemcova,8,6
12,Mike Catherwood,11,3
12,Romeo,5,9
12,Wendy Williams,10,4
12,Kendra Wilkinson,6,8
11,David Hasselhoff,12,2
11,Florence Henderson,8,6
11,Kyle Massey,2,11
11,Jennifer Grey,1,11
11,Rick Fox,6,8
11,Kurt Warner,5,9
11,Margaret Cho,10,4
11,Michael Bolton,11,3
11,Brandy,4,10
11,The Situation,9,5
11,Audrina Patridge,7,7
11,Bristol Palin,3,11
10,Aiden Turner,9,5
10,Shannen Doherty,11,3
10,Niecy Nash,5,9
10,Buzz Aldrin,10,4
10,Chad Ochocinco,4,10
10,Evan Lysacek,2,11
10,Pamela Anderson,6,8
10,Nicole Scherzinger,1,11
10,Erin Andrews,3,11
10,Kate Gosselin,8,6
10,Jake Pavelka,7,7
9,Ashley Hamiliton,16,2
9,Debi Mazar,12,4
9,Melissa Joan Hart,9,7
9,Mark Dacascos,6,8
9,Chuck Liddell,11,5
9,Natalie Coughlin,10,6
9,Louie Vito,8,7
9,Michael Irvin,7,8
9,Joanna Krupa,4,10
9,Kathy Ireland,14,3
9,Tom DeLay,13,4
9,Macy Gray,15,2
9,Aaron Carter,5,9
9,Mya,2,11
9,Donny Osmond,1,11
9,Kelly Osbourne,3,11
8,Gilles Marini,2,12
8,Denise Richards,12,4
8,David Alan Grier,9,6
8,Lawrence Taylor,7,8
8,Ty Murray,4,11
8,Shawn Johnson,1,12
8,Steve Wozniak,10,5
8,Belinda Carlisle,13,3
8,Chuck Wicks,6,9
8,Lil' Kim,5,10
8,Steve-O,8,7
8,Holly Madison,11,5
8,Melissa Rycroft,3,12
7,Ted McGinley,12,2
7,Cloris Leachman,7,7
7,Susan Lucci,6,8
7,Cody Linley,4,10
7,Misty May-Treanor,10,3
7,Maurice Greene,5,9
7,Warren Sapp,2,11
7,Jeffrey Ross,13,2
7,Toni Braxton,8,6
7,Lance Bass,3,11
7,Kim Kardashian,11,3
7,Rocco DiSpirito,9,5
7,Brooke Burke,1,11
6,Cristian de la Fuente,3,11
6,Steve Guttenberg,10,4
6,Priscilla Presley,8,6
6,Marlee Matlin,7,7
6,Shannon Elizabeth,6,8
6,Marissa Jaret Winokur,4,10
6,Jason Taylor,2,11
6,Kristi Yamaguchi,1,11
6,Monica Seles,11,3
6,Penn Jillette,12,3
6,Adam Carolla,9,5
6,Mario,5,9
5,Cameron Mathison,5,9
5,Jane Seymour,6,8
5,Sabrina Bryan,7,7
5,Jennie Garth,4,10
5,Floyd Mayweather Jr. ,9,5
5,Josie Maran,12,2
5,Albert Reed,11,3
5,Helio Castroneves,1,11
5,Mel B,2,11
5,Wayne Newton,10,4
5,Marie Osmond,3,11
5,Mark Cuban,8,6
4,John Ratzenberger,6,8
4,Ian Ziering,4,10
4,Clyde Drexler,8,6
4,Laila Ali,3,11
4,Apolo Anton Ohno,1,11
4,Shandi Finnessey,10,4
4,Paulina Porizkova,11,3
4,Heather Mills,7,7
4,Billy Ray Cyrus,5,9
4,Joey Fatone,2,11
4,Leeza Gibbons,9,5
3,Harry Hamlin,9,4
3,Vivica A. Fox,8,5
3,Monique Coleman,4,9
3,Joey Lawrence,3,10
3,Mario Lopez,2,11
3,Emmitt Smith,1,11
3,Shanna Moakler,10,3
3,Willa Ford,7,6
3,Sara Evans,6,6
3,Jerry Springer,5,8
3,Tucker Carlson,11,2
2,Tatum O'Neal,9,3
2,Tia Carrere,6,6
2,George Hamilton,5,7
2,Lisa Rinna,4,8
2,Stacy Keibler,3,9
2,Jerry Rice,2,9
2,Giselle Fernandez,8,4
2,Master P,7,5
2,Drew Lachey,1,9
2,Kenny Mayne,10,2
1,John O'Hurley,2,7
1,Kelly Monaco,1,7
1,Evander Holyfield,5,4
1,Rachel Hunter,4,5
1,Joey McIntyre,3,6
1,Trista Sutter,6,3
