season,week,k,agree,rank_eliminee,pct_eliminee,rank_elim_judge,pct_elim_judge,rank_elim_fan,pct_elim_fan,rank_favors_fans_by_judge,rank_favors_fans_by_fan
7,2,2,True,Ted McGinley;Jeffrey Ross,Ted McGinley;Jeffrey Ross,0.0,0.0,0.0,0.0,,
7,3,2,True,Misty May-Treanor;Kim Kardashian,Kim Kardashian;Misty May-Treanor,0.0,0.0,0.02223510949201762,0.02223510949201762,,
7,5,1,True,Rocco DiSpirito,Rocco DiSpirito,0.0,0.0,0.0,0.0,,
7,6,1,True,Toni Braxton,Toni Braxton,0.0,0.0,0.0,0.0,,
7,7,1,True,Cloris Leachman,Cloris Leachman,0.0,0.0,0.0,0.0,,
7,8,1,True,Susan Lucci,Susan Lucci,0.0,0.0,0.0,0.0,,
7,9,1,True,Maurice Greene,Maurice Greene,0.0,0.0,0.0,0.0,,
7,10,1,True,Cody Linley,Cody Linley,0.0,0.0,0.0,0.0,,
8,3,1,True,Belinda Carlisle,Belinda Carlisle,0.0,0.0,0.0,0.0,,
8,4,1,True,Denise Richards,Denise Richards,0.0,0.0,0.0,0.0,,
8,5,2,True,Steve Wozniak;Holly Madison,Steve Wozniak;Holly Madison,0.0,0.0,0.0,0.0,,
8,6,1,True,David Alan Grier,David Alan Grier,0.0,0.0,0.0,0.0,,
8,7,1,True,Steve-O,Steve-O,0.0,0.0,0.0,0.0,,
8,8,1,True,Lawrence Taylor,Lawrence Taylor,0.0,0.0,0.0,0.0,,
8,9,1,True,Chuck Wicks,Chuck Wicks,0.0,0.0,0.0,0.0,,
8,10,1,True,Lil' Kim,Lil' Kim,0.0,0.0,0.0,0.0,,
8,11,1,True,Ty Murray,Ty Murray,0.0,0.0,0.0,0.0,,
9,2,2,True,Ashley Hamiliton;Macy Gray,Ashley Hamiliton;Macy Gray,0.0,0.0,0.0,0.0,,
9,3,1,True,Kathy Ireland,Kathy Ireland,0.0,0.0,0.0,0.0,,
9,4,2,True,Tom DeLay;Debi Mazar,Debi Mazar;Tom DeLay,0.0,0.0,0.034241417635299365,0.034241417635299365,,
9,5,1,True,Chuck Liddell,Chuck Liddell,0.0,0.0,0.0,0.0,,
9,6,1,True,Natalie Coughlin,Natalie Coughlin,0.0,0.0,0.0,0.0,,
9,7,2,True,Melissa Joan Hart;Louie Vito,Melissa Joan Hart;Louie Vito,0.0,0.0,0.0,0.0,,
9,8,2,True,Mark Dacascos;Michael Irvin,Mark Dacascos;Michael Irvin,0.0,0.0,0.0,0.0,,
9,9,1,True,Aaron Carter,Aaron Carter,0.0,0.0,0.0,0.0,,
9,10,1,True,Joanna Krupa,Joanna Krupa,0.0,0.0,0.0,0.0,,
10,3,1,True,Shannen Doherty,Shannen Doherty,0.0,0.0,0.0,0.0,,
10,4,1,True,Buzz Aldrin,Buzz Aldrin,0.0,0.0,0.0,0.0,,
10,5,1,True,Aiden Turner,Aiden Turner,0.0,0.0,0.0,0.0,,
10,6,1,True,Kate Gosselin,Kate Gosselin,0.0,0.0,0.0,0.0,,
10,7,1,True,Jake Pavelka,Jake Pavelka,0.0,0.0,0.0,0.0,,
10,8,1,True,Pamela Anderson,Pamela Anderson,0.0,0.0,0.0,0.0,,
10,9,1,True,Niecy Nash,Niecy Nash,0.0,0.0,0.0,0.0,,
10,10,1,True,Chad Ochocinco,Chad Ochocinco,0.0,0.0,0.0,0.0,,
11,2,1,True,David Hasselhoff,David Hasselhoff,0.0,0.0,0.0,0.0,,
11,3,1,True,Michael Bolton,Michael Bolton,0.0,0.0,0.0,0.0,,
11,4,1,True,Margaret Cho,Margaret Cho,0.0,0.0,0.0,0.0,,
11,5,1,True,The Situation,The Situation,0.0,0.0,0.0,0.0,,
11,6,1,True,Florence Henderson,Florence Henderson,0.0,0.0,0.0,0.0,,
11,7,1,True,Audrina Patridge,Audrina Patridge,0.0,0.0,0.0,0.0,,
11,8,1,True,Rick Fox,Rick Fox,0.0,0.0,0.0,0.0,,
11,9,1,True,Kurt Warner,Kurt Warner,0.0,0.0,0.0,0.0,,
11,10,1,True,Brandy,Brandy,0.0,0.0,0.0,0.0,,
12,3,1,True,Mike Catherwood,Mike Catherwood,0.0,0.0,0.0,0.0,,
12,4,1,True,Wendy Williams,Wendy Williams,0.0,0.0,0.0,0.0,,
12,5,1,True,Sugar Ray Leonard,Sugar Ray Leonard,0.0,0.0,0.0,0.0,,
12,6,1,True,Petra Nemcova,Petra Nemcova,0.0,0.0,0.0,0.0,,
12,7,1,True,Chris Jericho,Chris Jericho,0.0,0.0,0.0,0.0,,
12,8,1,True,Kendra Wilkinson,Kendra Wilkinson,0.0,0.0,0.0,0.0,,
12,9,1,True,Romeo,Romeo,0.0,0.0,0.0,0.0,,
12,10,1,True,Ralph Macchio,Ralph Macchio,0.0,0.0,0.0,0.0,,
13,2,1,True,Metta World Peace (Ron),Metta World Peace (Ron),0.0,0.0,0.0,0.0,,
13,3,1,True,Elisabetta Canalis,Elisabetta Canalis,0.0,0.0,0.0,0.0,,
13,4,1,True,Kristin Cavallari,Kristin Cavallari,0.0,0.0,0.0,0.0,,
13,5,1,True,Chynna Phillips,Chynna Phillips,0.0,0.0,0.0,0.0,,
13,6,1,True,Carson Kressley,Carson Kressley,0.0,0.0,0.0,0.0,,
13,7,1,True,Chaz Bono,Chaz Bono,0.0,0.0,0.0,0.0,,
13,8,1,True,David Arquette,David Arquette,0.0,0.0,0.0,0.0,,
13,9,1,True,Nancy Grace,Nancy Grace,0.0,0.0,0.0,0.0,,
13,10,1,True,Hope Solo,Hope Solo,0.0,0.0,0.0,0.0,,
14,3,1,True,Martina Navratilova,Martina Navratilova,0.0,0.0,0.0,0.0,,
14,4,1,True,Jack Wagner,Jack Wagner,0.0,0.0,0.0,0.0,,
14,5,1,True,Sherri Sheperd,Sherri Sheperd,0.0,0.0,0.0,0.0,,
14,6,1,True,Gavin DeGraw,Gavin DeGraw,0.0,0.0,0.0,0.0,,
14,7,1,True,Gladys Knight,Gladys Knight,0.0,0.0,0.0,0.0,,
14,8,1,True,Jaleel White,Jaleel White,0.0,0.0,0.0,0.0,,
14,9,2,True,Roshon Fegan;Melissa Gilbert,Roshon Fegan;Melissa Gilbert,0.0,0.0,0.0,0.0,,
14,10,1,True,Maria Menounos,Maria Menounos,0.0,0.0,0.0,0.0,,
15,2,1,True,Pamela Anderson,Pamela Anderson,0.0,0.0,0.0,0.0,,
15,3,1,True,Joey Fatone,Joey Fatone,0.0,0.0,0.0,0.0,,
15,4,2,True,Helio Castroneves;Drew Lachey,Helio Castroneves;Drew Lachey,0.0,0.0,0.0,0.0,,
15,5,1,True,Bristol Palin,Bristol Palin,0.0,0.0,0.0,0.0,,
15,7,1,True,Sabrina Bryan,Sabrina Bryan,0.0,0.0,0.0,0.0,,
15,9,2,True,Gilles Marini;Kirstie Alley,Gilles Marini;Kirstie Alley,0.0,0.0,0.0,0.0,,
15,10,2,True,Apolo Anton Ohno;Emmitt Smith,Apolo Anton Ohno;Emmitt Smith,0.0,0.0,0.0,0.0,,
16,3,1,False,Wynonna Judd,Dorothy Hamill,15.0,0.0,0.05127585124562603,0.07264388928284954,True,True
16,4,1,True,Wynonna Judd,Wynonna Judd,0.0,0.0,0.0,0.0,,
16,5,1,True,Lisa Vanderpump,Lisa Vanderpump,0.0,0.0,0.0,0.0,,
16,6,1,True,D. L. Hughley,D. L. Hughley,0.0,0.0,0.0,0.0,,
16,7,1,True,Victor Ortiz,Victor Ortiz,0.0,0.0,0.0,0.0,,
16,8,1,True,Andy Dick,Andy Dick,0.0,0.0,0.0,0.0,,
16,9,1,True,Sean Lowe,Sean Lowe,0.0,0.0,0.0,0.0,,
16,10,1,True,Ingo Rademacher,Ingo Rademacher,0.0,0.0,0.0,0.0,,
17,3,1,True,Keyshawn Johnson,Keyshawn Johnson,0.0,0.0,0.0,0.0,,
17,4,1,True,Bill Nye,Bill Nye,0.0,0.0,0.0,0.0,,
17,5,1,True,Valerie Harper,Valerie Harper,0.0,0.0,0.0,0.0,,
17,6,1,True,Christina Milian,Christina Milian,0.0,0.0,0.0,0.0,,
17,8,1,True,"Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi",0.0,0.0,0.0,0.0,,
17,9,1,True,Brant Daugherty,Brant Daugherty,0.0,0.0,0.0,0.0,,
17,10,1,True,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,0.0,0.0,0.0,0.0,,
17,11,1,True,Leah Remini,Leah Remini,0.0,0.0,0.0,0.0,,
18,2,1,False,NeNe Leakes,Diana Nyad,21.0,0.0,0.052494959593384925,0.06339233003329384,True,True
18,3,2,False,Drew Carey;Sean Avery,Sean Avery;Billy Dee Williams,15.0,0.0,,,,
18,6,1,True,Cody Simpson,Cody Simpson,0.0,0.0,0.0,0.0,,
18,7,1,True,Drew Carey,Drew Carey,0.0,0.0,0.0,0.0,,
18,8,1,True,NeNe Leakes,NeNe Leakes,0.0,0.0,0.0,0.0,,
18,9,1,True,Danica McKellar,Danica McKellar,0.0,0.0,0.0,0.0,,
18,10,1,True,Charlie White,Charlie White,0.0,0.0,0.0,0.0,,
19,2,1,True,Lolo Jones,Lolo Jones,0.0,0.0,0.0,0.0,,
19,3,1,True,Tavis Smiley,Tavis Smiley,0.0,0.0,0.0,0.0,,
19,4,1,True,Randy Couture,Randy Couture,0.0,0.0,0.0,0.0,,
19,5,1,True,Betsey Johnson,Betsey Johnson,0.0,0.0,0.0,0.0,,
19,7,1,True,Jonathan Bennett,Jonathan Bennett,0.0,0.0,0.0,0.0,,
19,8,1,True,Antonio Sabato Jr.,Antonio Sabato Jr.,0.0,0.0,0.0,0.0,,
19,9,1,True,Michael Waltrip,Michael Waltrip,0.0,0.0,0.0,0.0,,
19,10,1,True,Lea Thompson,Lea Thompson,0.0,0.0,0.0,0.0,,
19,11,1,True,Tommy Chong,Tommy Chong,0.0,0.0,0.0,0.0,,
20,3,1,True,Redfoo,Redfoo,0.0,0.0,0.0,0.0,,
20,4,1,True,Charlotte McKinney,Charlotte McKinney,0.0,0.0,0.0,0.0,,
20,5,1,True,Michael Sam,Michael Sam,0.0,0.0,0.0,0.0,,
20,6,1,True,Suzanne Somers,Suzanne Somers,0.0,0.0,0.0,0.0,,
20,7,1,True,Patti LaBelle,Patti LaBelle,0.0,0.0,0.0,0.0,,
20,8,1,True,Willow Shields,Willow Shields,0.0,0.0,0.0,0.0,,
20,9,2,True,Robert Herjavec;Chris Soules,Robert Herjavec;Chris Soules,0.0,0.0,0.0,0.0,,
20,10,1,True,Nastia Liukin,Nastia Liukin,0.0,0.0,0.0,0.0,,
21,3,3,True,Kim Zolciak-Biermann;Victor Espinoza;Chaka Khan,Victor Espinoza;Chaka Khan;Kim Zolciak-Biermann,0.0,0.0,0.023953516288360736,0.023953516288360736,,
21,5,1,True,Gary Busey,Gary Busey,0.0,0.0,0.0,0.0,,
21,7,1,True,Paula Deen,Paula Deen,0.0,0.0,0.0,0.0,,
21,8,1,True,Hayes Grier,Hayes Grier,0.0,0.0,0.0,0.0,,
21,9,1,True,Andy Grammer,Andy Grammer,0.0,0.0,0.0,0.0,,
21,10,2,True,Alexa PenaVega;Tamar Braxton,Alexa PenaVega;Tamar Braxton,0.0,0.0,0.06480400115985102,0.06480400115985102,,
22,3,1,True,Geraldo Rivera,Geraldo Rivera,0.0,0.0,0.0,0.0,,
22,4,1,True,Mischa Barton,Mischa Barton,0.0,0.0,0.0,0.0,,
22,5,1,True,Marla Maples,Marla Maples,0.0,0.0,0.0,0.0,,
22,7,1,True,Doug Flutie,Doug Flutie,0.0,0.0,0.0,0.0,,
22,8,2,True,Kim Fields;Von Miller,Kim Fields;Von Miller,0.0,0.0,0.0,0.0,,
22,9,1,True,Jodie Sweetin,Jodie Sweetin,0.0,0.0,0.0,0.0,,
22,10,2,True,Antonio Brown;Wanya Morris,Antonio Brown;Wanya Morris,0.0,0.0,0.0,0.0,,
23,3,1,True,Jake T. Austin,Jake T. Austin,0.0,0.0,0.0,0.0,,
23,4,1,True,Rick Perry,Rick Perry,0.0,0.0,0.0,0.0,,
23,5,2,True,Babyface;Vanilla Ice,Babyface;Vanilla Ice,0.0,0.0,0.0,0.0,,
23,7,1,True,Amber Rose,Amber Rose,0.0,0.0,0.0,0.0,,
23,8,1,True,Maureen McCormick,Maureen McCormick,0.0,0.0,0.0,0.0,,
23,9,1,True,Ryan Lochte,Ryan Lochte,0.0,0.0,0.0,0.0,,
23,10,1,True,Marilu Henner,Marilu Henner,0.0,0.0,0.0,0.0,,
23,11,1,True,Terra Jole,Terra Jole,0.0,0.0,0.0,0.0,,
24,3,1,True,Chris Kattan,Chris Kattan,0.0,0.0,0.0,0.0,,
24,4,1,True,Charo,Charo,0.0,0.0,0.0,0.0,,
24,5,1,True,Mr. T,Mr. T,0.0,0.0,0.0,0.0,,
24,6,1,True,Erika Jayne,Erika Jayne,0.0,0.0,0.0,0.0,,
24,7,1,True,Heather Morris,Heather Morris,0.0,0.0,0.0,0.0,,
24,8,2,True,Nancy Kerrigan;Nick Viall,Nancy Kerrigan;Nick Viall,0.0,0.0,0.0,0.0,,
24,9,1,True,Bonner Bolton,Bonner Bolton,0.0,0.0,0.0,0.0,,
24,10,1,True,Simone Biles,Simone Biles,0.0,0.0,0.0,0.0,,
25,3,2,True,Barbara Corcoran;Debbie Gibson,Barbara Corcoran;Debbie Gibson,0.0,0.0,0.0,0.0,,
25,5,1,True,Derek Fisher,Derek Fisher,0.0,0.0,0.0,0.0,,
25,6,1,True,Sasha Pieterse,Sasha Pieterse,0.0,0.0,0.0,0.0,,
25,7,1,True,Nick Lachey,Nick Lachey,0.0,0.0,0.0,0.0,,
25,8,2,True,Nikki Bella;Vanessa Lachey,Nikki Bella;Vanessa Lachey,0.0,0.0,0.0,0.0,,
25,9,1,True,Terrell Owens,Terrell Owens,0.0,0.0,0.0,0.0,,
25,10,1,True,Victoria Arlen,Victoria Arlen,0.0,0.0,0.0,0.0,,
26,2,2,True,Jamie Anderson;Johnny Damon,Jamie Anderson;Johnny Damon,0.0,0.0,0.0,0.0,,
26,3,2,True,Kareem Abdul-Jabbar;Arike Ogunbowale,Kareem Abdul-Jabbar;Arike Ogunbowale,0.0,0.0,0.0,0.0,,
26,4,3,True,Jennie Finch Daigle;Chris Mazdzer;Mirai Nagasu,Jennie Finch Daigle;Chris Mazdzer;Mirai Nagasu,0.0,0.0,0.0,0.0,,
27,2,1,True,Nikki Glaser,Nikki Glaser,0.0,0.0,0.0,0.0,,
27,3,1,True,Danelle Umstead,Danelle Umstead,0.0,0.0,0.0,0.0,,
27,4,1,True,Nancy McKeon,Nancy McKeon,0.0,0.0,0.0,0.0,,
27,5,1,True,Tinashe,Tinashe,0.0,0.0,0.0,0.0,,
27,7,1,True,Mary Lou Retton,Mary Lou Retton,0.0,0.0,0.0,0.0,,
27,8,2,True,John Schneider;DeMarcus Ware,John Schneider;DeMarcus Ware,0.0,0.0,0.0,0.0,,
27,9,2,True,Juan Pablo Di Pace;Joe Amabile,Juan Pablo Di Pace;Joe Amabile,0.0,0.0,0.0,0.0,,
28,3,2,False,Karamo Brown;Mary Wilson,Mary Wilson;Ray Lewis,8.0,0.0,,,,
28,5,1,True,Lamar Odom,Lamar Odom,0.0,0.0,0.0,0.0,,
28,7,1,True,Sailor Brinkley-Cook,Sailor Brinkley-Cook,0.0,0.0,0.0,0.0,,
28,8,1,True,Karamo Brown,Karamo Brown,0.0,0.0,0.0,0.0,,
28,9,1,True,Kate Flannery,Kate Flannery,0.0,0.0,0.0,0.0,,
28,10,1,True,Sean Spicer,Sean Spicer,0.0,0.0,0.0,0.0,,
28,11,1,True,James Van Der Beek,James Van Der Beek,0.0,0.0,0.0,0.0,,
29,3,1,True,Charles Oakley,Charles Oakley,0.0,0.0,0.0,0.0,,
29,4,1,True,Carole Baskin,Carole Baskin,0.0,0.0,0.0,0.0,,
29,5,1,True,Anne Heche,Anne Heche,0.0,0.0,0.0,0.0,,
29,6,1,True,Jesse Metcalfe,Jesse Metcalfe,0.0,0.0,0.0,0.0,,
29,7,1,True,Veron Davis,Veron Davis,0.0,0.0,0.0,0.0,,
29,8,2,True,Jeannie Mai;Monica Aldama,Monica Aldama;Jeannie Mai,0.0,0.0,0.03085177966451396,0.03085177966451396,,
29,9,1,True,Chrishell Stause,Chrishell Stause,0.0,0.0,0.0,0.0,,
29,10,1,True,AJ McLean,AJ McLean,0.0,0.0,0.0,0.0,,
29,11,2,True,Skai Jackson;Johnny Weir,Skai Jackson;Johnny Weir,0.0,0.0,0.0,0.0,,
30,3,1,True,Martin Kove,Martin Kove,0.0,0.0,0.0,0.0,,
30,4,1,True,Christine Chiu,Christine Chiu,0.0,0.0,0.0,0.0,,
30,5,2,True,Brian Austin Green;Matt James,Brian Austin Green;Matt James,0.0,0.0,0.0,0.0,,
30,6,1,True,Melanie C,Melanie C,0.0,0.0,0.0,0.0,,
30,7,1,True,Kenya Moore,Kenya Moore,0.0,0.0,0.0,0.0,,
30,8,1,True,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",0.0,0.0,0.0,0.0,,
30,9,2,True,Jimmie Allen;Olivia Jade,Jimmie Allen;Olivia Jade,0.0,0.0,0.0,0.0,,
30,10,2,True,Melora Hardin;Suni Lee,Melora Hardin;Suni Lee,0.0,0.0,0.0,0.0,,
31,2,1,True,Jason Lewis,Jason Lewis,0.0,0.0,0.0,0.0,,
31,3,1,True,Teresa Giudice,Teresa Giudice,0.0,0.0,0.0,0.0,,
31,4,1,True,Cheryl Ladd,Cheryl Ladd,0.0,0.0,0.0,0.0,,
31,5,1,True,Sam Champion,Sam Champion,0.0,0.0,0.0,0.0,,
31,6,2,True,Selma Blair;Joseph Baena,Joseph Baena;Selma Blair,0.0,0.0,0.020443256305977087,0.020443256305977087,,
31,7,1,True,Jessie James Decker,Jessie James Decker,0.0,0.0,0.0,0.0,,
31,8,1,True,Jordin Sparks,Jordin Sparks,0.0,0.0,0.0,0.0,,
31,9,2,True,Heidi D'Amelio;Vinny Guadagnino,Heidi D'Amelio;Vinny Guadagnino,0.0,0.0,0.0,0.0,,
31,10,2,True,Trevor Donovan;Daniel Durant,Trevor Donovan;Daniel Durant,0.0,0.0,0.0,0.0,,
32,2,1,True,Matt Walsh,Matt Walsh,0.0,0.0,0.0,0.0,,
32,3,1,True,Jamie Lynn Spears,Jamie Lynn Spears,0.0,0.0,0.0,0.0,,
32,4,1,True,Tyson Beckford,Tyson Beckford,0.0,0.0,0.0,0.0,,
32,5,1,True,Adrian Peterson,Adrian Peterson,0.0,0.0,0.0,0.0,,
32,6,1,True,Mira Sorvino,Mira Sorvino,0.0,0.0,0.0,0.0,,
32,7,1,True,Mauricio Umansky,Mauricio Umansky,0.0,0.0,0.0,0.0,,
32,8,1,True,Lele Pons,Lele Pons,0.0,0.0,0.0,0.0,,
32,9,1,True,Barry Williams,Barry Williams,0.0,0.0,0.0,0.0,,
32,10,1,True,Harry Jowsey,Harry Jowsey,0.0,0.0,0.0,0.0,,
33,3,2,True,Tori Spelling;Anna Delvey,Tori Spelling;Anna Delvey,0.0,0.0,0.0,0.0,,
33,4,2,False,Dwight Howard ;Reginald VelJohnson,Eric Roberts;Reginald VelJohnson,14.5,0.0,,,,
33,5,1,True,Brooks Nader,Brooks Nader,0.0,0.0,0.0,0.0,,
33,6,1,True,Phaedra Parks,Phaedra Parks,0.0,0.0,0.0,0.0,,
33,7,1,True,Jenn Tran,Jenn Tran,0.0,0.0,0.0,0.0,,
33,8,1,True,Dwight Howard ,Dwight Howard ,0.0,0.0,0.0,0.0,,
34,3,2,True,Corey Feldman;Baron Davis,Corey Feldman;Baron Davis,0.0,0.0,0.0,0.0,,
34,4,1,True,Lauren Jauregui,Lauren Jauregui,0.0,0.0,0.0,0.0,,
34,5,1,True,Hilaria Baldwin,Hilaria Baldwin,0.0,0.0,0.0,0.0,,
34,7,1,True,Scott Hoying,Scott Hoying,0.0,0.0,0.0,0.0,,
34,8,1,True,Jen Affleck,Jen Affleck,0.0,0.0,0.0,0.0,,
34,9,1,True,Danielle Fishel,Danielle Fishel,0.0,0.0,0.0,0.0,,
34,10,1,True,Andy Richter,Andy Richter,0.0,0.0,0.0,0.0,,
34,11,1,True,Whitney Leavitt,Whitney Leavitt,0.0,0.0,0.0,0.0,,
